region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-2	206055069	5631	10	20
VPN	5500985131	3624	658	25
GH-actions	203411434912	66153	13771	322
CAN/ON	159372436	11	11	0
USA/CO	10616311372	709	709	0
PRT/11	95894328	19	14	1
GCP/us-east4	2510645248	167	167	0
GCP/us-west1	2897925544	191	191	0
USA/GA	31200942224	2088	2082	2
GCP/asia-southeast1	3164239856	205	205	0
CHN/SH	383116036	37	24	2
USA/NH	1039666208	2869	302	206
CHN/GD	364411594	55	21	1
USA/VT	268184640	722	76	16
USA/NY	1468764245	438	109	10
GCP/us-central1	6278336400	420	420	0
GCP/us-east1	4047263252	289	273	1
GCP/europe-west4	2481437720	166	166	0
NLD	59104368	3	3	0
GCP/asia-east1	2601025080	174	174	0
AUS/NSW	59104368	3	3	0
IRN	297987391	38	16	2
ISR	29896840	2	2	0
USA/CA	2978819291	511	230	17
GBR/SCT	179381040	12	12	0
CAN/BC	239174720	16	16	0
USA/WA	419900164	35	29	2
GBR/ENG	2807565208	19233	225	35
USA/PA	1472898987	206	105	5
CHN	1456838321	146	93	12
USA/MA	618671164	108	26	7
USA/VA	242696192	31	17	5
CHN/BJ	407937519	82	26	4
USA/NC	119587360	8	8	0
CHE	59793680	4	4	0
KOR/27	59793680	4	4	0
USA/IL	1260433048	93	82	2
AWS/us-east-1	810399624	107	38	13
GCP/us-west4	1282806872	82	82	0
GCP/europe-west1	896905200	60	60	0
KOR/50	151552136	13	13	0
CHE/VD	487912892	102	37	4
CHL/RM	29896840	2	2	0
CHE/ZH	62276344	22	6	3
JPN/13	458310302	5025	27	3
SGP	324282976	50	24	3
USA/NM	89001208	5	5	0
MEX/CMX	43171692	118	22	12
CHN/ZJ	648100332	45	45	0
TWN/TNN	313320012	94	24	1
IRN/23	72793045	6	6	0
IND	89690520	6	6	0
AWS/us-west-2	333627925	203	22	6
CAN	119587360	8	8	0
FIN/11	29896840	2	2	0
BEL/VLG	89690520	6	6	0
NLD/ZH	80126409	5	5	0
KOR/11	177313104	9	9	0
CAN/QC	522681914	67	31	4
HUN	29896840	2	2	0
USA/NJ	149484200	10	10	0
NOR/50	249513104	64	0	3
TUR/06	120276672	9	9	0
USA	566838040	39	39	0
IND/KA	29896840	2	2	0
HKG	648763972	44	44	0
USA/MD	166902264	75	19	6
ISR/HA	89690520	6	6	0
DEU/BW	268382248	17	17	0
FRA/IDF	212854328	26	18	3
EST/37	30586152	3	3	0
GHA	59793680	4	4	0
CHE/BS	29896840	2	2	0
GCP/us-west3	448452600	30	30	0
DEU/NI	59104368	3	3	0
DEU/BE	89001208	5	5	0
USA/RI	90379832	7	4	1
ARG/R	24595808	154	0	2
USA/MI	264730888	15	11	1
RUS	89690520	6	6	0
KOR/30	268382248	17	17	0
USA/AZ	149484200	10	10	0
ESP	689312	1	1	0
JPN/23	89690520	6	6	0
