week_start	sub-Anm001/sub-Anm001_ses-648518346349537380.nwb	sub-Anm002/sub-Anm002_ses-648518346349539999.nwb	sub-Anm003/sub-Anm003_ses-648518346349538888.nwb	sub-Anm004/sub-Anm004_ses-648518346349537777.nwb
2026-05-11	3611621	3333804	3333804	3333804
2026-05-18	4445072	4445072	5000706	4445072
