date	bytes_sent	number_of_requests	number_of_downloads
2026-04-23	4685200716	2820	120
2026-04-24	4772994852	3580	140
2026-04-25	1519558724	2160	380
2026-04-28	4390478332	1640	220
2026-05-06	17848524	<50	<50
2026-05-12	4222448	<50	<50
2026-05-14	7565800	<50	<50
2026-05-15	71947248	280	<50
2026-05-16	86503492	280	<50
2026-05-17	212542780	280	<50
2026-05-18	646458832	320	120
2026-05-19	1104432640	840	180
2026-05-20	570735128	1060	160
2026-05-21	38096496	140	<50
2026-05-22	7172552	<50	<50
2026-05-23	115240600	480	<50
2026-05-24	24198456	60	<50
2026-05-25	13195816	80	<50
2026-05-26	30829552	160	<50
2026-05-27	73864912	380	<50
2026-05-28	241627700	1060	180
2026-05-29	45929396	60	<50
2026-05-30	216245148	960	160
2026-05-31	25026728	160	<50
2026-06-01	206870488	960	160
2026-06-02	52161556	100	<50
2026-06-03	370448132	980	180
2026-06-04	4322998511	1300	320
2026-06-05	111145744	80	<50
2026-06-06	183612176	<50	<50
2026-06-07	275336420	840	160
2026-06-08	315114216	840	160
2026-06-09	212117492	820	160
2026-06-10	170542264	900	<50
2026-06-11	87123412	120	<50
2026-06-12	190970696	1020	<50
2026-06-13	157526356	640	<50
2026-06-14	44479136	200	<50
2026-06-15	22658760	60	<50
2026-06-16	258196480	1060	160
2026-06-17	49938216	200	<50
2026-06-18	63992360	260	<50
2026-06-19	37370884	120	<50
2026-06-20	191764432	620	100
2026-06-21	67863072	400	<50
2026-06-22	67284656	240	<50
2026-06-23	23969440	140	<50
2026-06-24	29829860	180	<50
2026-06-25	83287000	500	<50
2026-06-26	242665504	440	120
2026-06-27	363238384	1280	160
2026-06-28	22252156	120	<50
2026-06-29	659157120	380	<50
2026-06-30	33408000	200	<50
2026-07-01	121852944	760	<50
2026-07-02	79826032	480	<50
2026-07-03	84037284	520	<50
2026-07-04	77296700	480	<50
2026-07-05	21157484	120	<50
