asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-21/sub-21_ses-20230725T175536_behavior.nwb	770333524	166	36	12
sub-11/sub-11_ses-20240522T002407_behavior.nwb	1671296476	234	40	15
sub-14/sub-14_ses-20230614T161558_behavior.nwb	913751144	231	38	18
sub-1/sub-1_ses-20231031T135558_behavior.nwb	1047002047	272	44	21
sub-0/sub-0_ses-20231031T135510_behavior.nwb	483160122	315	50	19
sub-20/sub-20_ses-20230725T175523_behavior.nwb	742424404	192	35	13
sub-2/sub-2_ses-20231031T154756_behavior.nwb	401813240	182	31	11
sub-4/sub-4_ses-20231031T155000_behavior.nwb	244020441	202	43	11
sub-0/sub-0_ses-20230620T110854_behavior.nwb	17279129274	719	59	23
sub-6/sub-6_ses-20240521T130712_behavior.nwb	605143944	296	44	20
sub-12/sub-12_ses-20230614T171042_behavior.nwb	642128920	237	37	19
sub-3/sub-3_ses-20231031T154851_behavior.nwb	958141808	195	35	12
sub-7/sub-7_ses-20230614T161540_behavior.nwb	546565176	181	31	12
sub-18/sub-18_ses-20230725T175221_behavior.nwb	801025030	152	25	16
sub-16/sub-16_ses-20230725T175146_behavior.nwb	688448284	178	21	14
sub-9/sub-9_ses-20240503T171307_behavior.nwb	1104634944	199	23	12
sub-8/sub-8_ses-20240521T163107_behavior.nwb	1412234328	166	17	9
sub-9/sub-9_ses-20230615T105755_behavior.nwb	352291524	198	31	13
sub-5/sub-5_ses-20231031T155836_behavior.nwb	226204656	191	34	11
sub-17/sub-17_ses-20230725T175210_behavior.nwb	497380560	172	24	14
sub-24/sub-24_ses-20230725T175621_behavior.nwb	614780304	144	17	13
sub-3/sub-3_ses-20230615T105740_behavior.nwb	1422974293	152	16	10
sub-2/sub-2_ses-20230615T105722_behavior.nwb	10752687752	474	23	12
sub-22/sub-22_ses-20230725T175547_behavior.nwb	543183560	278	36	24
sub-23/sub-23_ses-20230725T175602_behavior.nwb	433410392	195	27	13
sub-6/sub-6_ses-20230614T161531_behavior.nwb	2833070832	190	17	12
sub-15/sub-15_ses-20230620T111927_behavior.nwb	1100826380	183	31	14
sub-8/sub-8_ses-20230615T105749_behavior.nwb	529912604	132	18	9
sub-4/sub-4_ses-20230620T111609_behavior.nwb	1877796608	200	24	13
sub-10/sub-10_ses-20230620T111637_behavior.nwb	609606540	196	27	19
sub-19/sub-19_ses-20230725T175242_behavior.nwb	489759196	169	21	14
sub-10/sub-10_ses-20240503T190631_behavior.nwb	1303142148	228	26	19
sub-1/sub-1_ses-20230614T163157_behavior.nwb	1608164442	282	35	17
sub-5/sub-5_ses-20230620T112123_behavior.nwb	621368584	191	27	13
sub-13/sub-13_ses-20230615T105805_behavior.nwb	744160412	193	28	17
sub-7/sub-7_ses-20240521T143306_behavior.nwb	3746765568	231	22	12
sub-11/sub-11_ses-20230620T111855_behavior.nwb	3536464180	298	28	20
