week_start	sub-0/sub-0_ses-20230620T110854_behavior.nwb	sub-0/sub-0_ses-20231031T135510_behavior.nwb	sub-1/sub-1_ses-20230614T163157_behavior.nwb	sub-1/sub-1_ses-20231031T135558_behavior.nwb	sub-10/sub-10_ses-20230620T111637_behavior.nwb	sub-10/sub-10_ses-20240503T190631_behavior.nwb	sub-11/sub-11_ses-20230620T111855_behavior.nwb	sub-11/sub-11_ses-20240522T002407_behavior.nwb	sub-12/sub-12_ses-20230614T171042_behavior.nwb	sub-13/sub-13_ses-20230615T105805_behavior.nwb	sub-14/sub-14_ses-20230614T161558_behavior.nwb	sub-15/sub-15_ses-20230620T111927_behavior.nwb	sub-16/sub-16_ses-20230725T175146_behavior.nwb	sub-17/sub-17_ses-20230725T175210_behavior.nwb	sub-18/sub-18_ses-20230725T175221_behavior.nwb	sub-19/sub-19_ses-20230725T175242_behavior.nwb	sub-2/sub-2_ses-20230615T105722_behavior.nwb	sub-2/sub-2_ses-20231031T154756_behavior.nwb	sub-20/sub-20_ses-20230725T175523_behavior.nwb	sub-21/sub-21_ses-20230725T175536_behavior.nwb	sub-22/sub-22_ses-20230725T175547_behavior.nwb	sub-23/sub-23_ses-20230725T175602_behavior.nwb	sub-24/sub-24_ses-20230725T175621_behavior.nwb	sub-3/sub-3_ses-20230615T105740_behavior.nwb	sub-3/sub-3_ses-20231031T154851_behavior.nwb	sub-4/sub-4_ses-20230620T111609_behavior.nwb	sub-4/sub-4_ses-20231031T155000_behavior.nwb	sub-5/sub-5_ses-20230620T112123_behavior.nwb	sub-5/sub-5_ses-20231031T155836_behavior.nwb	sub-6/sub-6_ses-20230614T161531_behavior.nwb	sub-6/sub-6_ses-20240521T130712_behavior.nwb	sub-7/sub-7_ses-20230614T161540_behavior.nwb	sub-7/sub-7_ses-20240521T143306_behavior.nwb	sub-8/sub-8_ses-20230615T105749_behavior.nwb	sub-8/sub-8_ses-20240521T163107_behavior.nwb	sub-9/sub-9_ses-20230615T105755_behavior.nwb	sub-9/sub-9_ses-20240503T171307_behavior.nwb
2025-05-12	721849248	16249568	37690412	20904220	16577108	42266996	138344732	51023352	20838712	46070044	46135552	37877960	39216924	38005392	29227320	29292828	640874664	13789000	22974664	31105576	15385980	15747756	22659664	60383160	46004536	86281220	18050292	17155496	16485636	117440512	16642616	17635012	160149984	14420504	68019460	9799100	58520148
2025-05-19	24875424	0	5868476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	15467100	15928344	5643336	5404972	0	7504740	0	6260500	0	8385024	15279448	0	6186500	3358096	4061496	5519052	1477120	1588744	0	2161764	5306148	2534472	0	1400760	1523024	1417560	2882352	4389036	6919116	4323528	1591840	4127004	6203988	4454544	4192512	6063352	6230652
2025-06-16	20000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	1789334908	10927744	82186880	40742080	28132864	76622832	252770520	91172016	39705592	34975616	57317680	59952600	45612224	30883800	32303808	26741104	256689664	19534088	58561536	33272176	29026480	24961664	35582640	122566872	49073152	141834112	7574792	41504896	8623616	259895528	30325440	34702200	251130624	40522424	99244672	11719840	79834176
2025-07-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13429140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	274962816	8878792	92460240	42779184	26374560	63852360	219067784	81041792	31346520	37666048	39217360	63949440	32196864	26765960	40379760	26741104	285862080	20683152	39595696	28519008	17074400	24961664	28466112	72098160	64408512	141834112	6238064	36316784	9162592	177823256	18195264	39329160	266826288	33371408	136461424	10654400	89226432
2025-07-28	0	10457256	0	30769056	23067936	0	0	76189176	0	35185600	39427344	0	0	26975944	0	0	0	0	0	31105576	0	0	0	93937592	0	0	0	0	0	0	22956576	0	0	0	0	14060704	0
2025-08-04	0	0	0	0	0	0	157286400	0	0	0	0	0	0	0	0	0	0	0	0	0	22406704	0	0	0	0	0	0	0	8297136	0	0	0	104857600	0	0	0	0
2025-08-11	971410336	0	0	0	0	64064856	0	0	27376968	0	0	0	0	0	35205776	0	0	17448456	0	0	0	0	0	0	0	104857600	6896136	0	0	73175640	0	0	0	0	93254376	0	0
