week_start	Microscopy	Miscellaneous
2026-03-02	138059548	5130
2026-03-09	1053834790	1710
2026-03-16	176923470	1710
2026-03-23	143900028	1710
2026-03-30	313355587	0
2026-04-06	10048496110	217182
2026-04-13	5231355657	56091
2026-04-20	1742283616	82986
2026-04-27	3645950432	28830
2026-05-04	121082957	110830
2026-05-11	640235034	19705
2026-05-18	730418546	83051
2026-05-25	63395170246	145408
2026-06-01	6527222346	2694
2026-06-08	302713165	1523
2026-06-15	11947113187	26450
2026-06-22	118188144110	521570
2026-06-29	134595594162	479922
2026-07-06	198886707	137520
2026-07-13	163704001	0
2026-07-20	54271011	0
2026-07-27	14982852490	122283
2026-08-03	799914836	0
2026-08-10	7732868459	5170
2026-08-17	122770423185	538120
