date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-05-15	6363463314	4128	691	216
2026-05-16	4642681173	4653	312	580
2026-05-17	673026404	1471	38	72
2026-05-18	1175850093	1621	514	36
2026-05-19	1468177286	2573	220	83
2026-05-20	715032633	2039	85	79
2026-05-21	222992359	855	45	47
2026-05-22	962598138	2815	72	72
2026-05-23	420763643	1507	35	35
2026-05-24	522416801	1916	45	45
2026-05-25	737030046	2359	84	84
2026-05-26	291942752	1003	34	34
2026-05-27	386210094	1424	84	56
2026-05-28	644813507	2089	93	93
2026-05-29	198083856	797	26	26
2026-05-30	300694339	1136	33	33
2026-05-31	334594989	1178	66	66
2026-06-01	6499875681	2966	703	56
2026-06-02	192196422	815	20	20
2026-06-03	269609439	938	27	26
2026-06-04	982798151	2739	72	72
2026-06-05	1118448800	6115	32	14
2026-06-06	22350604	65	5	2
2026-06-08	5668501451	647	647	0
2026-06-09	99657245	686	2	1
2026-06-10	1401784162	5384	113	74
2026-06-11	853418008	3653	62	31
2026-06-12	1796336521	7113	100	50
2026-06-13	1303078741	5640	130	65
2026-06-14	936924714	2769	199	16
2026-06-15	177774897	823	26	13
2026-06-16	308474795	1554	52	26
2026-06-17	812196185	3115	48	24
2026-06-18	637103127	2636	50	25
2026-06-19	683273006	989	214	48
2026-06-20	923047376	2130	72	85
2026-06-21	1370462700	5234	66	33
2026-06-22	738148197	771	40	69
2026-06-23	630294716	1873	58	53
2026-06-24	298666656	657	48	34
2026-06-25	1047503004	2600	76	103
2026-06-26	968825445	2134	519	29
2026-06-27	485298288	2118	63	29
2026-06-28	834270480	3357	60	30
2026-06-29	842848133	777	189	26
2026-06-30	597132683	2487	54	27
2026-07-01	481308100	2106	74	37
2026-07-02	1003110775	4011	70	35
2026-07-03	951385720	3810	60	30
2026-07-04	351086420	1664	64	32
2026-07-05	575011247	2317	52	26
2026-07-06	665850363	2805	54	31
2026-07-07	240874712	1263	36	18
2026-07-08	785868854	2995	46	23
2026-07-09	730655949	1188	500	23
2026-07-10	522051439	1985	74	37
2026-07-11	747947133	3011	70	35
2026-07-12	802442702	3051	62	31
2026-07-13	322570858	1282	57	30
2026-07-14	502831942	1816	53	27
2026-07-15	662219944	2799	73	37
2026-07-16	1289516657	4018	102	72
2026-07-17	158239798	684	68	36
2026-07-18	928761928	3310	50	26
2026-07-19	893100087	3175	125	100
2026-07-20	136231135	750	44	28
2026-07-21	16999042	75	9	9
2026-07-22	341805549	936	13	13
2026-07-23	2264227	12	1	1
2026-07-24	24565190	90	15	9
2026-07-25	511896971	944	12	12
2026-07-26	119701112	487	1	1
2026-07-27	478481295	1839	48	48
2026-07-28	1432785802	5680	97	97
2026-07-29	403710942	1922	50	50
2026-07-30	204806687	902	25	25
2026-07-31	82063790	317	20	20
2026-08-01	366387845	925	44	44
2026-08-02	512011769	2306	27	27
2026-08-03	282448985	1180	24	24
2026-08-04	709029832	3397	29	29
2026-08-05	392329210	1596	30	30
2026-08-06	289316391	1385	13	13
2026-08-07	850320527	4692	44	44
2026-08-08	188888370	813	39	39
2026-08-09	330715862	1491	22	22
2026-08-10	1151379430	5414	32	32
2026-08-11	217414064	913	18	18
2026-08-12	480654904	2940	31	31
2026-08-13	333652577	1371	34	32
2026-08-14	122313956	497	10	10
2026-08-15	50440141	210	27	27
2026-08-16	204512932	884	25	25
2026-08-17	695767675	3179	41	41
2026-08-18	135078714	661	13	13
2026-08-19	42125803	171	22	22
2026-08-20	800153902	3496	16	16
2026-08-21	489973163	2979	48	48
2026-08-22	227510788	929	19	19
