week_start	Neurophysiology	Video
2023-06-26	900544487775	2413819008
2023-07-03	22216085708	205731576
2023-07-10	416832278059	4723835697
2023-07-17	687277424	177895862
2023-07-24	145280060	23968540
2023-07-31	1545209257	12970584
2023-08-07	272001791	7860960
2023-08-14	277141270	0
2023-08-21	274935852	6616308
2023-08-28	373064732	0
2023-09-04	170100368	17032080
2023-09-11	176682496	14215236
2023-09-18	179012652	0
2023-09-25	229960856	0
2023-10-02	379491660	0
2023-10-09	135888640	0
2023-10-16	24762113571	268979200
2023-10-23	355099928	231618560
2023-10-30	93813676041	210694144
2023-11-06	566025104	0
2023-11-13	827885768	0
2023-11-20	901143564615	4756365312
2023-11-27	1365442000	0
2023-12-04	2355712197	0
2023-12-11	4199987138	0
2023-12-18	2232967352	0
2023-12-25	2224875440	0
2024-01-01	2254841700	0
2024-01-08	2166907516	0
2024-01-15	2183971168	0
2024-01-22	3615459922	0
2024-01-29	3192221724	0
2024-02-05	3041366100	0
2024-02-12	3404738280	0
2024-02-19	3534975668	0
2024-02-26	3445272192	0
2024-03-04	3432768564	0
2024-03-11	5084384245	0
2024-03-18	6024299652	0
2024-03-25	3025227907	0
2024-04-01	3347148400	38518704
2024-04-08	2605215932	0
2024-04-15	3868362808	0
2024-04-22	3727480506	12577536
2024-04-29	3104495703	0
2024-05-06	2715119199	0
2024-05-13	3126320136	0
2024-05-20	2820687880	0
2024-05-27	3363011264	0
2024-06-03	3169689172	0
2024-06-10	4197058515	0
2024-06-17	4569553740	0
2024-06-24	9699773827	20372988
2024-07-01	22695316714	531122268
2024-07-08	38725460272	0
2024-07-15	46236426849	14870316
2024-07-22	17066766687	862740360
2024-07-29	15735251028	0
2024-08-05	12779329428	20700528
2024-08-12	14333247212	9826200
2024-08-19	14925955416	0
2024-08-26	74941397738	1300867788
2024-09-02	359376345789	1473384616
2024-09-09	676792586972	673818400
2024-09-16	9197574539	0
2024-09-23	8982962291	0
2024-09-30	8466355156	0
2024-10-07	7501221552	0
2024-10-14	8295354664	747511788
2024-10-21	9411910043	0
2024-10-28	7252194172	0
2024-11-04	7002629107	0
2024-11-11	13336770528	0
2024-11-18	5760891619	693795228
2024-11-25	32781801194	24237960
2024-12-02	3531513440	574267392
2024-12-09	3037806800	0
2024-12-16	3546165676	0
2024-12-23	3319338988	0
2024-12-30	3318225352	0
2025-01-06	2675047752	0
2025-01-13	3262592892	0
2025-01-20	3378905518	140383644
2025-01-27	3146853020	0
2025-02-03	4802743222	0
2025-02-10	30348159304	0
2025-02-17	3003686028	0
2025-02-24	3537738900	0
2025-03-03	3464546724	0
2025-03-10	3949437004	0
2025-03-17	2540050664	0
2025-03-24	2946245412	0
2025-03-31	3726131960	0
2025-04-07	2525016312	0
2025-04-14	97202094753	1273902080
2025-04-21	2442846256	0
2025-04-28	3683492124	0
2025-05-05	3455684660	0
2025-05-12	5487288776	0
2025-05-19	2973735516	0
2025-05-26	2884328840	0
2025-06-02	3869314832	0
2025-06-09	2186381056	0
2025-06-16	3308309276	0
2025-06-23	3534288624	0
2025-06-30	4161017464	0
2025-07-07	1981824904	0
2025-07-14	4027279420	0
2025-07-21	138043305494	233596928
2025-07-28	36057833176	990434304
2025-08-04	406682905794	496762092
2025-08-11	344596372464	529715200
2025-08-18	2717741579	185471784
2025-08-25	51852229305	385227264
2025-09-01	243821634551	153634304
2025-09-08	100891711499	188989952
2025-09-15	1677788732	0
2025-09-22	1519958620	0
2025-09-29	1656705084	11391516
2025-10-06	4783300413	0
2025-10-13	6007636099	0
2025-10-20	3998595954	0
2025-10-27	4098335574	0
2025-11-03	13261596398	0
2025-11-10	13223960775	0
2025-11-17	13732375456	0
2025-11-24	13024189844	0
2025-12-01	29137925406	0
2025-12-08	50024877172	103480832
2025-12-15	964491005306	10956419148
2025-12-22	65144923861	205974528
2025-12-29	108492100393	165472768
2026-01-05	108800278175	284091904
2026-01-12	89928653419	2460135936
2026-01-19	197938106801	190804480
2026-01-26	308904493930	649904128
2026-02-02	282774737930	456983040
2026-02-09	16447695507	0
2026-02-16	11849203955	622592
2026-02-23	14095790859	54305280
2026-03-02	19543197861	294912
2026-03-09	55856175230	2307753004
2026-03-16	56032192627	2321837112
2026-03-23	21567944027	277314420
2026-03-30	16038411428	523040636
2026-04-06	18269485882	978686212
2026-04-13	33031687538	602111488
2026-04-20	48599177301	689181200
2026-04-27	13192828037	1581436632
2026-05-04	13801613693	0
2026-05-11	19012190322	585154032
2026-05-18	19552913873	845858084
2026-05-25	22825138038	115293432
2026-06-01	10643706142	117336064
2026-06-08	11293040761	0
