region	bytes_sent
AWS/us-east-1	910614304298
US/California	904836140094
AWS/us-east-2	417115138529
GitHub	232868645275
CN/Shanghai	118536209479
SE/Stockholm	22236421524
US/New York	4556453692
US/Pennsylvania	1770678051
US/Indiana	1671478490
VPN	1420923693
DK/Capital Region	1284988764
CA/Quebec	1005156800
IT/Lombardy	740256328
DE/Lower Saxony	555358768
US/Maryland	464493404
GB/Scotland	304607368
GB/England	302035488
US/Massachusetts	226886657
MX/México	204213072
AWS/ap-southeast-1	186083167
US/Virginia	84201728
GCP/us-east4	78509576
US/District of Columbia	75759598
FR/Auvergne-Rhône-Alpes	67465184
US/Texas	58157801
GCP/us-east1	44553667
FR/Île-de-France	25299444
IN/Maharashtra	25169624
US/Rhode Island	21937848
NL/North Holland	17032080
HU/Budapest	15721920
US/New Hampshire	7860960
