week_start	sub-Temp-pref-F18-B18-5dpf-01-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-01-unsorted-nac_ses-20230718T115600_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-02-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-02-unsorted-nac_ses-20230718T123900_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-03-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-03-unsorted-nac_ses-20230718T131100_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-04-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-04-unsorted-nac_ses-20230718T134200_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-05-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-05-unsorted-nac_ses-20230718T142500_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-06-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-06-unsorted-nac_ses-20230718T145600_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-07-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-07-unsorted-nac_ses-20230718T152700_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-08-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-08-unsorted-nac_ses-20230718T155800_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-09-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-09-unsorted-nac_ses-20230718T163000_behavior.nwb	sub-Temp-pref-F18-B18-5dpf-10-unsorted-nac/sub-Temp-pref-F18-B18-5dpf-10-unsorted-nac_ses-20230718T170200_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-15-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-15-unsorted-nac_ses-20231026T112600_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-16-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-16-unsorted-nac_ses-20231026T121000_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-17-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-17-unsorted-nac_ses-20231026T124800_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-18-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-18-unsorted-nac_ses-20231026T131900_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-19-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-19-unsorted-nac_ses-20231026T134900_behavior.nwb	sub-Temp-pref-F18-B18-7dpf-20-unsorted-nac/sub-Temp-pref-F18-B18-7dpf-20-unsorted-nac_ses-20231026T143600_behavior.nwb
2025-03-10	6218893	7798462	7257895	6311927	6026228	6585714	6799967	6831543	6320458	7248686	5938269	6862137	6573301	6321905	7374390	16924890
2025-04-21	8252329	9307666	9195239	9197303	8714968	8226046	9292295	9389211	9271342	9151106	8889153	8895741	8868825	8945137	8949214	8834587
2025-06-23	351006	349734	350916	351072	350814	350454	350802	351060	350310	350448	350982	350850	350538	351018	351210	350910
2025-07-14	351006	349734	350916	351072	350814	350454	350802	351060	350310	350448	350982	350850	350538	351018	351210	350910
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8949214	0
2025-07-28	8252329	0	0	0	0	0	0	0	0	0	8889153	0	0	8945137	0	0
2025-08-04	0	9307666	9195239	0	0	0	9292295	9389211	0	0	0	0	0	0	0	8834587
2025-08-11	0	0	0	9197303	8714968	8226046	0	0	0	0	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	9271342	0	0	8895741	8868825	0	0	0
2025-08-25	0	0	0	0	0	0	9292295	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	8226046	0	0	0	9151106	8889153	0	0	8945137	0	0
2025-09-08	0	9307666	0	0	0	0	0	0	0	0	0	8895741	0	0	0	0
2025-09-29	0	0	9498939	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	22119058	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8949214	0
2025-12-15	20631662	19723438	26096303	26976154	19851328	20476042	24752183	21901239	26927708	24918520	20549577	21276753	28611978	22177753	24016054	34439222
2025-12-29	0	0	9195239	0	8714968	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	9389211	0	0	0	0	0	0	8949214	0
2026-01-12	0	0	27585717	0	0	24678138	0	0	9271342	0	0	0	26606475	0	53695284	26503761
2026-01-19	0	0	0	9197303	0	0	0	28167633	0	0	0	26687223	0	0	0	0
2026-01-26	8252329	0	0	0	0	0	9292295	0	0	9151106	8889153	8895741	0	8945137	0	0
2026-02-02	0	9307666	0	0	0	8226046	0	0	0	0	0	0	0	0	0	0
2026-02-16	17323858	16145326	19004878	14960652	14567604	17066492	16588511	19392822	16074288	16447322	0	0	0	0	0	0
2026-02-23	0	0	0	0	0	5987698	0	6720923	0	0	5504065	0	5848169	0	0	0
2026-03-02	0	5549870	0	6000463	5833604	0	6337147	0	0	6007710	0	5613053	0	5662449	6625018	5617407
2026-03-09	6497365	0	5437443	0	0	0	0	0	6770962	0	0	0	0	0	0	0
2026-03-16	0	0	15877055	0	15265768	0	0	18778422	18442462	0	0	0	12209733	0	16744666	12961591
2026-03-23	8252329	20557720	13629443	0	8430192	0	0	16723364	0	0	0	0	0	0	0	0
2026-03-30	0	1158804	18390478	0	0	0	0	1224312	0	0	0	0	0	0	0	0
2026-04-06	16504658	1539788	6944548	0	0	8811176	0	5048604	0	0	0	0	8868825	0	0	0
2026-04-13	8252329	0	0	0	0	0	0	0	0	18302213	0	0	8868825	47273909	0	0
2026-04-20	0	0	18390478	0	17429936	0	0	18778422	0	0	0	0	25205562	17890275	17898428	17669174
2026-04-27	0	0	9195239	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	0	0	0	5768096	8226046	9292295	0	0	0	14524234	0	0	5727957	0	0
2026-05-18	0	2339978	19348979	0	11725932	0	6140623	10612296	16107812	0	0	0	17253849	0	17661778	23295574
2026-05-25	5547849	2157976	13740398	2252100	10901560	4833382	2186592	2317608	2448624	2252100	1990068	4299105	4440097	2288992	5536210	2055576
2026-06-01	15392701	6354276	0	29727400	0	2383116	0	15127514	0	2535786	8889153	0	0	0	43905104	0
2026-06-08	2899604	2051788	7694310	15913121	2051788	2051788	4796782	0	41732516	0	0	0	0	0	18947978	0
