week_start	sub-Animal-1/sub-Animal-1_ses-1-to-10.nwb	sub-Animal-1/sub-Animal-1_ses-11-to-21.nwb	sub-Animal-1/sub-Animal-1_ses-21-to-37.nwb	sub-Animal-2/sub-Animal-2_ses-38-to-42.nwb	sub-Animal-2/sub-Animal-2_ses-43-to-47.nwb
2024-07-01	506633598	176421230	313430768	391016778	346520310
2024-07-08	120869187	85653837	86265080	97335825	83607131
2024-07-22	10219248	843360719	14149728	9957216	261865051
2024-08-26	0	50563305	0	0	0
2024-09-02	751614390	0	305516840	302581081	0
2024-09-16	124406619	52656369	91243688	94781013	83607131
2024-09-23	73224599	50563305	61428756	65094969	61262183
2024-09-30	0	13756680	0	0	0
2024-10-14	751614390	237441490	437430312	570591858	510497486
2024-10-21	479993587	229719969	325390852	382603981	350198507
2024-10-28	66477275	50563305	61428756	65094969	61262183
2024-11-11	0	0	4127004	0	4127004
2024-11-18	1055084335	29442532	0	0	0
2024-12-02	0	0	218715156	0	0
2025-01-20	375807195	118720745	218715156	285295929	255248743
2025-01-27	375807195	118720745	218715156	285295929	255248743
2025-02-24	375807195	0	0	0	0
2025-04-14	375807195	118720745	218715156	285295929	255248743
2025-05-26	375807195	118720745	218715156	285295929	255248743
2025-07-28	0	0	218715156	285295929	255248743
2025-08-04	0	118720745	0	0	0
2025-08-18	375807195	0	0	0	0
2025-08-25	375807195	118720745	218715156	285295929	255248743
2025-10-06	0	93419647	0	0	0
2025-12-15	767991390	250608598	454265868	584807094	526677962
2025-12-22	375807195	0	218715156	0	0
2025-12-29	0	0	0	285295929	0
2026-01-05	0	0	0	0	255248743
2026-01-12	1127421585	0	656145468	0	0
2026-01-19	751614390	356162235	437430312	570591858	510497486
2026-02-16	13642216	14821360	15017884	12921628	14297296
2026-02-23	0	13992914	7646316	0	7930303
2026-03-02	7656755	0	0	0	0
2026-03-09	0	0	0	9857469	0
2026-03-16	17228604	0	12970584	21224592	15132348
2026-03-23	0	4397312	6624584	0	19202120
2026-04-06	0	5355804	0	0	0
2026-04-20	16377000	0	11594916	27906408	15590904
2026-04-27	0	4462820	4331804	0	4536604
2026-05-11	14444864	136690142	11300480	10710908	14444864
2026-05-18	399677530	129890209	466137800	326599073	278668203
2026-05-25	5851252	8655197	5224788	5392696	9814183
2026-06-01	3898076	7018332	4094600	7532285	26236304
2026-06-08	9872768	9713136	9414212	16395770	14364204
2026-06-15	4029092	3701552	10670180	4029092	4225616
2026-06-22	12308418	2972688	3889800	12537674	5396484
2026-06-29	377592463	1916284	227010496	2047300	1981792
2026-07-06	1280219800	407438354	700976684	955067282	39754900
2026-07-13	14682068	859880	1056404	7673530	256108623
