week_start	sub-MG/sub-MG_ecephys.nwb
2024-06-10	262769276
2024-06-17	9957216
2024-06-24	590104280
2024-07-08	128010557
2024-07-22	278740648
2024-07-29	12118980
2024-08-19	278740648
2024-08-26	607326784
2024-09-09	141804112
2024-09-16	38204436
2024-09-23	210583208
2024-10-21	20045448
2024-10-28	561697540
2024-11-11	5830212
2024-11-18	111343900
2025-01-13	108575428
2025-02-17	278740648
2025-04-07	278740648
2025-04-14	278740648
2025-06-23	64663720
2025-07-14	77455064
2025-08-18	104857600
2025-08-25	278740648
2025-10-06	106724688
2025-11-17	35584060
2025-12-15	278740648
2026-01-12	557481296
2026-01-19	104857600
2026-02-09	278740648
2026-02-16	4127308
2026-02-23	47104000
