region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	2671617839	2594	15	13
AWS/us-east-1	522339888	81	6	2
USA/TX	326495980	2	2	0
CHN	1393703240	61	1	2
GitHub	1625394956	2290	10	7
NLD	294715640	14	1	1
USA/NY	550824192	1672	7	3
USA/MA	2439670492	372	2	5
USA/MD	725488988	672	6	3
USA/VA	357284683	124	6	2
USA/IL	195572953	719	3	2
MEX/CMX	430741348	721	8	6
BRA/PE	318177280	104	2	1
AWS/us-east-2	210583208	41	0	1
USA/PA	162320424	366	2	1
ITA/45	278740648	54	0	1
USA/CA	1292907260	12	7	1
GCP/us-central1	1114962592	4	4	0
USA/MI	68033852	328	1	1
HKG	278740648	1	1	0
CAN/AB	659608268	5	5	0
USA	347155484	336	2	1
CHN/ZJ	278740648	1	1	0
USA/DC	4127004	1	1	0
CHL/RM	40156404	1	1	0
AWS/ap-northeast-1	288697864	2	2	0
CAN/QC	5826787	2	0	1
CHN/SH	278740648	1	1	0
EST/37	278740648	1	1	0
CHE/VD	1941112	7	1	1
FRA/IDF	82716620	343	4	4
USA/TN	53160180	11	1	1
AWS/us-west-2	1875604	7	1	1
USA/OH	68722036	332	1	1
VNM/HN	57122976	1	1	0
CAN/BC	65895088	426	2	1
