week_start	sub-Temp-pref-F16-B16-6dpf-01-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-01-unsorted-nac_ses-20230720T143700_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-02-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-02-unsorted-nac_ses-20230720T150900_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-03-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-03-unsorted-nac_ses-20230720T154200_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-04-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-04-unsorted-nac_ses-20230720T161600_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-05-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-05-unsorted-nac_ses-20230720T164700_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-06-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-06-unsorted-nac_ses-20231025T110800_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-07-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-07-unsorted-nac_ses-20231025T113900_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-08-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-08-unsorted-nac_ses-20231025T121400_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-09-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-09-unsorted-nac_ses-20231025T124900_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-10-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-10-unsorted-nac_ses-20231025T132000_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-11-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-11-unsorted-nac_ses-20231025T135000_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-12-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-12-unsorted-nac_ses-20231025T142200_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-13-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-13-unsorted-nac_ses-20231025T145300_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-14-long-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-14-long-unsorted-nac_ses-20231025T152800_behavior.nwb	sub-Temp-pref-F16-B16-6dpf-15-unsorted-nac/sub-Temp-pref-F16-B16-6dpf-15-unsorted-nac_ses-20231025T165000_behavior.nwb
2025-03-10	2002713	2195834	0	4127004	4454544	6065499	0	2383494	4127004	4127004	0	2003095	3582623	6206017	4127004
2025-05-12	1471567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	238863	212792	121882	116790	149608	238827	271325	196516	128393	191700	196537	187120	137777	205018	217469
2025-07-14	201432	74806	128709	91081	254868	208244	121673	112236	212437	196380	196537	229280	228827	153252	224418
2025-07-28	0	0	0	0	0	0	0	0	0	0	0	0	8432287	0	8991476
2025-08-11	0	0	0	0	0	8754239	0	0	0	0	0	8294551	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	9065151	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	8513669	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	8206084	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	9052191	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	0	1358552	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	10542604	0	0	0	0	0	0	0	0	0	0
2025-12-15	8949529	13560156	8065995	15405664	8188500	14280744	17240691	13195170	12333088	8122992	12575165	12421555	12559291	11793680	8581548
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	8294551	0	0	8991476
2025-12-29	0	0	0	0	0	8754239	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	17508478	0	0	0	0	0	0	0	32597122	17982952
2026-01-19	0	0	8065995	0	0	0	0	9068166	0	0	0	0	0	0	0
2026-02-02	0	9142650	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	614400	9142650	0	8965540	307200	307200	6878340	7860960	0	614400	0	0	0	0	0
2026-02-23	0	4389036	5536999	0	0	2507839	0	2514566	0	0	0	0	4520052	0	0
2026-03-02	2498329	0	0	0	0	0	0	0	4847592	6900587	0	0	0	4127004	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	2150551	0	0	0
2026-03-16	0	0	0	0	0	8754239	0	0	0	0	0	0	0	0	0
2026-03-23	0	0	307200	0	4434204	0	0	0	0	0	0	0	0	307200	0
2026-03-30	0	307200	0	0	0	0	0	0	0	0	0	0	0	0	0
