week_start	Miscellaneous
2025-03-24	604677
2025-04-14	172
2025-06-16	75
2025-07-28	201185
2025-08-04	72
2025-08-11	702
2025-08-25	72
2025-09-01	201185
2025-09-15	225
2025-09-22	600
2025-10-06	1200
2025-10-13	600
2025-10-20	600
2025-10-27	600
2025-11-03	2550
2025-11-10	1650
2025-11-17	1050
2025-11-24	1050
2025-12-01	1050
2025-12-08	750
2025-12-15	606052
2026-01-05	152
2026-01-12	604527
2026-01-26	201257
2026-03-16	275
2026-03-23	201185
2026-03-30	75
2026-04-06	402445
2026-04-13	201335
2026-04-20	350
2026-05-18	300
