date	bytes_sent	number_of_requests	number_of_downloads
2025-03-26	604677	<50	<50
2025-04-15	172	<50	<50
2025-06-16	75	<50	<50
2025-07-31	201185	<50	<50
2025-08-04	72	<50	<50
2025-08-12	100	<50	<50
2025-08-14	152	<50	<50
2025-08-17	450	<50	<50
2025-08-31	72	<50	<50
2025-09-06	201185	<50	<50
2025-09-15	75	<50	<50
2025-09-18	150	<50	<50
2025-09-25	600	<50	<50
2025-10-07	600	<50	<50
2025-10-12	600	<50	<50
2025-10-16	600	<50	<50
2025-10-26	600	<50	<50
2025-10-29	600	<50	<50
2025-11-04	750	<50	<50
2025-11-05	300	<50	<50
2025-11-06	300	<50	<50
2025-11-07	450	<50	<50
2025-11-08	300	<50	<50
2025-11-09	450	<50	<50
2025-11-10	300	<50	<50
2025-11-11	300	<50	<50
2025-11-12	300	<50	<50
2025-11-13	300	<50	<50
2025-11-14	150	<50	<50
2025-11-15	150	<50	<50
2025-11-16	150	<50	<50
2025-11-17	150	<50	<50
2025-11-18	150	<50	<50
2025-11-19	150	<50	<50
2025-11-20	150	<50	<50
2025-11-21	150	<50	<50
2025-11-22	150	<50	<50
2025-11-23	150	<50	<50
2025-11-24	150	<50	<50
2025-11-25	150	<50	<50
2025-11-26	150	<50	<50
2025-11-27	150	<50	<50
2025-11-28	150	<50	<50
2025-11-29	150	<50	<50
2025-11-30	150	<50	<50
2025-12-01	150	<50	<50
2025-12-02	150	<50	<50
2025-12-03	150	<50	<50
2025-12-04	150	<50	<50
2025-12-05	150	<50	<50
2025-12-06	150	<50	<50
2025-12-07	150	<50	<50
2025-12-08	150	<50	<50
2025-12-09	300	<50	<50
2025-12-10	300	<50	<50
2025-12-16	201884	<50	<50
2025-12-17	300	<50	<50
2025-12-18	202184	<50	<50
2025-12-19	201584	<50	<50
2025-12-20	100	<50	<50
2026-01-10	77	<50	<50
2026-01-11	75	<50	<50
2026-01-16	604527	<50	<50
2026-01-26	201185	<50	<50
2026-01-28	72	<50	<50
2026-03-18	75	<50	<50
2026-03-19	200	<50	<50
2026-03-28	201185	<50	<50
2026-04-05	75	<50	<50
2026-04-09	201185	<50	<50
2026-04-10	75	<50	<50
2026-04-12	201185	<50	<50
2026-04-14	201260	<50	<50
2026-04-15	75	<50	<50
2026-04-21	200	<50	<50
2026-04-23	75	<50	<50
2026-04-26	75	<50	<50
2026-05-18	200	<50	<50
2026-05-19	100	<50	<50
