week_start	sub-20220327-h2/sub-20220327-h2_ses-20220327_ophys.nwb	sub-20220327-h4/sub-20220327-h4_ses-20220327_ophys.nwb	sub-20220329-m10/sub-20220329-m10_ses-20220329_ophys.nwb	sub-20220329-m6/sub-20220329-m6_ses-20220329_ophys.nwb	sub-20220329-m7/sub-20220329-m7_ses-20220329_ophys.nwb	sub-20220329-m8/sub-20220329-m8_ses-20220329_ophys.nwb	sub-20220329-m9/sub-20220329-m9_ses-20220329_ophys.nwb	sub-20220403-h2/sub-20220403-h2_ses-20220403_ophys.nwb	sub-20220403-h3/sub-20220403-h3_ses-20220403_ophys.nwb	sub-20220403-m1/sub-20220403-m1_ses-20220403_ophys.nwb	sub-20220403-m3/sub-20220403-m3_ses-20220403_ophys.nwb	sub-20220427-h11/sub-20220427-h11_ses-20220427_ophys.nwb	sub-20220427-h2/sub-20220427-h2_ses-20220427_ophys.nwb	sub-20220427-h3/sub-20220427-h3_ses-20220427_ophys.nwb	sub-20220427-h4/sub-20220427-h4_ses-20220427_ophys.nwb	sub-20220427-h5/sub-20220427-h5_ses-20220427_ophys.nwb	sub-20220427-h6/sub-20220427-h6_ses-20220427_ophys.nwb	sub-20220427-h7/sub-20220427-h7_ses-20220427_ophys.nwb	sub-20220427-h8/sub-20220427-h8_ses-20220427_ophys.nwb	sub-20220427-h9/sub-20220427-h9_ses-20220427_ophys.nwb	sub-20220428-m1/sub-20220428-m1_ses-20220428_ophys.nwb	sub-20220428-m2/sub-20220428-m2_ses-20220428_ophys.nwb	sub-20220428-m3/sub-20220428-m3_ses-20220428_ophys.nwb	sub-20220428-m4/sub-20220428-m4_ses-20220428_ophys.nwb	sub-20220428-m5/sub-20220428-m5_ses-20220428_ophys.nwb	sub-20220428-m6/sub-20220428-m6_ses-20220428_ophys.nwb	sub-20220630-h2/sub-20220630-h2_ses-20220630_ophys.nwb	sub-20220630-h3/sub-20220630-h3_ses-20220630_ophys.nwb	sub-20220630-h4/sub-20220630-h4_ses-20220630_ophys.nwb	sub-20220630-h5/sub-20220630-h5_ses-20220630_ophys.nwb	sub-20220630-h6/sub-20220630-h6_ses-20220630_ophys.nwb	sub-20220630-h7/sub-20220630-h7_ses-20220630_ophys.nwb	sub-20220630-h8/sub-20220630-h8_ses-20220630_ophys.nwb	sub-20220701-m1/sub-20220701-m1_ses-20220701_ophys.nwb	sub-20220701-m2/sub-20220701-m2_ses-20220701_ophys.nwb	sub-20220701-m3/sub-20220701-m3_ses-20220701_ophys.nwb	sub-20220701-m4/sub-20220701-m4_ses-20220701_ophys.nwb	sub-20220701-m5/sub-20220701-m5_ses-20220701_ophys.nwb	sub-20220701-m6/sub-20220701-m6_ses-20220701_ophys.nwb	sub-20221006-h1/sub-20221006-h1_ses-20221006_ophys.nwb	sub-20221006-h2/sub-20221006-h2_ses-20221006_ophys.nwb	sub-20221014-m1/sub-20221014-m1_ses-20221014_ophys.nwb	sub-20221014-m2/sub-20221014-m2_ses-20221014_ophys.nwb	sub-20221014-m3/sub-20221014-m3_ses-20221014_ophys.nwb	sub-20221014-m4/sub-20221014-m4_ses-20221014_ophys.nwb	sub-20221014-m5/sub-20221014-m5_ses-20221014_ophys.nwb	sub-20221014-m6/sub-20221014-m6_ses-20221014_ophys.nwb
2025-08-18	0	0	0	996147200	0	0	0	0	0	996147200	0	1185861528	0	0	0	0	0	0	0	0	0	0	0	786432000	0	0	0	0	0	0	0	0	0	0	0	0	1600949220	0	899793226	1101004800	0	0	0	0	0	0	933497576
2025-08-25	1041998101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681574400	0	0	734003200	0	0	734003200	0	0	0	0	0	0	0	0	0
2025-09-01	9045640	0	2425710059	2661224103	0	2539724571	0	1913423485	0	1318229111	2037933080	0	0	0	2219196870	1608125496	1917605786	1598047911	0	1850266583	0	1987022214	1371428777	0	0	0	0	0	2319006299	0	0	0	0	0	0	1950889487	0	0	0	0	0	1846679932	0	0	0	0	1982073576
2025-09-08	4522820	891289600	0	0	0	0	0	0	1101004800	0	0	0	1262101045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571273876	0	471859200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	4522820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	4522820	110145919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	9045640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	4522820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	9045640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	13568460	0	2425710059	0	2827325350	2539724571	0	0	0	1318229111	1307324940	1762578328	1891246645	2103673730	0	0	1917605786	1598047911	1490649814	0	1284867823	1987022214	1371428777	1893932978	1673754380	0	1265170678	0	1480145499	0	1200419476	1232364530	0	1296259911	0	0	1915522020	0	0	0	0	0	0	1791261307	0	0	0
2025-11-24	4522820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702908143	0	0	0	0	0	0	730766031	0	0	0	0	0	0	0	880803840	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	3542956962	1447477959	2436060323	17883684	8493243426	18538764	2459453419	1936613317	1655014313	13363632	1318395792	3525156656	1891246645	2113499930	3215344070	2427652748	9040104	4042177901	1494776818	2512764715	2583033770	0	2746984558	1901924954	3362313568	1902971265	2543246432	1340309059	1480145499	1501391853	4127004	1236491534	10153740	1306348143	8974596	1950889487	3835171044	9171120	2676469986	17752668	3733260164	1855458004	1525491278	10022724	8254008	4887911748	3964147152
2025-12-22	0	0	1127219200	0	1312133030	922746880	0	555517565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861100871	0	0	0	0	0	1475420751	0	0	781189120	1006632960	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	839831448	0	0	0	0	0	0	0	0	0	0	0	0	964689920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1122208021	0	0
2026-01-05	0	0	0	1515192320	0	0	0	0	0	0	0	0	0	1080033280	0	0	0	0	0	0	0	760217600	0	0	0	0	639631360	0	0	0	0	0	0	0	0	0	0	0	0	0	1001390080	0	0	0	0	0	0
2026-01-12	0	6776237316	2425710059	0	6843645288	2813396187	0	1902937725	0	0	0	0	1891246645	0	0	4824376488	0	1598047911	2434628454	3700533166	1881949547	3974044428	0	0	0	0	0	10485760	2960290998	1488683301	0	0	0	2592519822	2033817268	3138844907	10485760	0	1942666446	10485760	0	2734489544	3061468316	3582522614	0	2657357876	0
2026-01-19	0	0	0	0	2827325350	2539724571	1211647979	0	0	1975855342	0	0	0	0	0	0	0	0	865075200	0	0	0	0	0	0	820913957	0	0	558029996	0	0	0	0	0	0	0	872188900	0	0	0	0	0	0	0	0	0	985661440
2026-01-26	660602880	681574400	0	0	0	0	0	0	943718400	0	499921420	0	886046720	0	774054115	0	685528986	0	0	0	0	0	749731840	1048576000	0	0	0	0	0	1478197541	424473236	0	686817280	0	546752520	0	0	675351788	0	0	0	896532480	0	0	0	0	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608174080	0	0	514089970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368159849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	1782463485	1453746387	2436740231	2668954047	2838945094	2550549943	2481922663	3838059027	1645671497	6595968	1307324940	1762578328	1891246645	2103673730	3215344070	1608125496	1917605786	1598047911	1490649814	3700533166	1284867823	1987022214	1371428777	1893932978	1673754380	1885218597	1265170678	2646422942	1480145499	1488683301	1200419476	2464729060	1368159849	1296259911	1322698760	3901778974	1915522020	1881214188	1738654026	3517072542	0	3693359864	1525491278	1791261307	1824753941	1977323312	1982073576
2026-02-23	23248172	72258908	73063920	8623087	26989296	16228064	0	0	4323528	96959008	0	169388180	1772933396	0	500375779	0	0	1616848707	1651414	0	1284867823	0	0	0	0	2184997	0	0	0	0	0	2028530	953165092	414903180	978222400	31746767	75857648	1047463012	85670128	131764215	35901968	55878324	0	1791261307	0	732138512	529637996
2026-03-02	0	0	4651068	0	0	0	4520052	0	0	4192512	2032140	0	1147445	12051330	11870435	1776696	0	0	0	16202911	4847592	11828614	0	4192512	0	0	0	2251471	4520052	4127004	0	0	0	2026311	0	0	0	4454544	0	0	6447534	0	6336222	0	0	4454544	0
2026-03-09	0	1445091982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8079468	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0	0	16064361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	2368631089	4363371349	4301184979	2671683879	2831944162	650228424	0	1928097277	494920704	1338722363	1307324940	1762578328	2550908221	2103673730	1607672035	4824376488	0	1605974379	0	20635020	3854603469	3974044428	0	3787865956	3347508760	0	3078876	2654218394	1480145499	1488683301	0	0	2736319698	2592519822	1322698760	1950889487	1915522020	3762428376	1749986910	1767052311	1863420190	3371616368	2868950046	0	11332884	1977323312	0
2026-03-23	0	0	2425710059	2661224103	2827325350	2539724571	2459453419	0	0	1318229111	0	0	0	2103673730	1607672035	0	0	0	0	1850266583	1284867823	0	0	0	0	1885218597	1265170678	0	0	1488683301	7074864	0	0	1296259911	0	0	1915522020	1881214188	0	0	6157752	0	0	1791261307	1824753941	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10022724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
