date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-09-08	65964461061	9185	814	1199
2026-09-09	10208534742	1710	274	236
2026-09-10	3994135798	13917	137	119
2026-09-11	2938147612	10798	109	101
2026-09-12	3077078200	12629	130	129
2026-09-13	895793511	2842	23	23
