date	bytes_sent
2024-09-04	880335743
2024-10-01	207702718642
2024-10-02	142234090881
2024-11-05	279111043
2024-11-07	8426864
2025-07-23	370221536
2025-07-25	9105612
2025-07-29	11517338136
2025-07-30	183484438690
2025-07-31	297722608010
2025-08-01	241081717986
2025-08-02	134416946448
2025-08-03	194726977445
2025-08-04	192961569375
2025-08-05	78291453975
2025-08-06	171692879018
2025-08-07	115304589220
2025-08-08	54810104896
2025-08-09	139827083844
2025-08-10	231381130872
2025-08-11	91648598344
2025-08-12	267562297188
2025-08-13	74857101959
2025-08-14	55411072834
2025-08-15	256048206521
2025-08-16	368598907336
2025-08-17	156287339353
2025-08-18	231711024633
2025-08-19	75831357
2025-08-21	13595981912
2025-08-22	228262345120
2025-08-23	120392301014
2025-08-27	125914734435
2025-08-28	106382751965
2025-08-29	48819825569
2025-08-30	46264006
2025-08-31	462299824
2025-09-01	239786542482
2025-09-02	4980736000
2025-09-03	110782054400
2025-09-04	481039425
2025-09-05	75694608868
2025-09-06	127456896800
2025-09-07	64721913945
2025-09-08	104857600
2025-09-10	175525261575
2025-09-11	469678058
2025-09-12	534129589
2025-09-13	360837584
2025-10-08	29826743
2025-11-07	4061496
2026-01-05	26358990
2026-01-27	865748827
2026-01-28	379744076898
2026-01-29	77737417185
2026-01-30	54579410686
2026-01-31	148481291429
2026-02-01	36497139897
2026-02-02	50215538808
2026-02-03	140380312157
2026-02-04	184624368288
2026-02-05	149086443227
2026-02-06	100394685238
2026-02-07	117362930109
2026-02-08	46853118674
2026-02-09	275329750169
2026-02-10	121087335462
2026-02-11	348892567824
2026-02-12	269132754579
2026-02-17	27276567
2026-02-18	281850398
2026-02-20	35808748
2026-02-23	7854253871
2026-02-24	63417789206
2026-02-25	28843184
2026-02-26	26392405
2026-02-27	11720274
2026-02-28	56590330
2026-03-01	9839464
2026-03-02	13272307
2026-03-03	40724063
2026-03-04	44541043
2026-03-05	42715465
2026-03-06	23240084
2026-03-07	9913566
2026-03-08	22359176
2026-03-09	30996496
2026-03-10	36687286
2026-03-17	1330333
2026-03-18	5924858
2026-03-19	368037685
2026-03-20	5168700
2026-03-26	6485292
2026-03-27	8182068
2026-03-28	740761
2026-03-29	10335589
2026-03-30	8794624
2026-04-10	39741179
