week_start	sub-R2227/sub-R2227_ses-202212210.nwb	sub-R2302/sub-R2302_ses-202308090.nwb	sub-R2307/sub-R2307_ses-202310040.nwb	sub-R2313/sub-R2313_ses-202311170.nwb	sub-R2321/sub-R2321_ses-202310310.nwb	sub-R2322/sub-R2322_ses-202310200.nwb
2025-12-01	119284635	21373232	59109720	41943040	38529456	18127272
2025-12-08	160548712	0	0	0	0	0
2025-12-15	394401228	34863436	78542632	15001332	6419784	26515880
2026-01-19	0	0	36700160	0	307200	0
2026-01-26	81905512	15667352	0	26214400	0	20971520
2026-02-02	0	6485292	0	0	9319368	0
2026-02-16	104857600	35629192	69285664	62470036	307200	37173344
2026-02-23	0	4827252	307200	4696236	307200	307200
2026-03-02	4323528	0	0	0	0	0
2026-03-23	0	307200	0	896772	4192512	0
2026-03-30	307200	0	0	0	0	0
2026-04-06	0	4258020	0	0	0	0
