week_start	sub-TIGRE296/sub-TIGRE296_behavior+ophys.nwb
2021-12-20	59639344
2022-04-11	94704
2022-05-02	118359600
2022-05-16	87208
2022-07-11	72267349
2022-08-01	1775394000
2022-08-08	2130472800
2022-08-15	591798000
2022-08-22	118359600
2022-08-29	591798000
2022-09-05	828517200
2022-12-12	118489694
2023-01-02	49540257
2023-02-13	159637070
2023-04-03	978311106
2023-04-10	407894656
2023-04-17	732535370
2023-04-24	736454488
2023-05-01	1116076204
2023-05-08	1421313131
2023-05-15	851620189
2023-05-22	1060299576
2023-05-29	990798124
2023-06-05	856283270
2023-06-12	658794126
2023-06-19	69902216
2023-06-26	597616514
2023-07-03	816667991
2023-07-10	866203808
2023-07-17	803612522
2023-07-24	1108119049
2023-07-31	405389534
2023-08-07	728782068
2023-08-14	874454520
2023-08-21	871555276
2023-08-28	731820740
2023-09-04	1192783556
2023-09-11	609052552
2023-09-18	825924600
2023-09-25	520858776
2023-10-02	879892308
2023-10-09	631287636
2023-10-16	734431232
2023-10-23	609416941
2023-10-30	992530414
2023-11-06	571988004
2023-11-13	625766660
2023-11-20	7232612
2023-11-27	118400
2023-12-04	126953968
2023-12-11	183928
2024-01-01	118359600
2024-01-15	78508612
2024-01-22	804400
2024-03-04	277135360
2024-03-11	588324064
2024-03-18	287901328
2024-03-25	485127408
2024-04-01	285848448
2024-04-08	476482356
2024-04-15	675714248
2024-04-22	738924556
2024-04-29	556741372
2024-05-06	562233468
2024-05-13	632229720
2024-05-20	585858520
2024-05-27	562886560
2024-06-03	748067960
2024-06-10	220035276
2024-07-08	125593276
2024-07-22	248266536
2024-07-29	473438400
2024-09-23	49554720
2024-10-07	10360816
2024-10-21	20005548
2025-02-03	9622780
2025-06-23	149784
2025-07-14	149784
2025-08-04	13502000
2025-09-08	19577380
2025-09-29	804400
2025-10-06	12537756
2025-12-15	136543336
2026-01-19	118359600
2026-01-26	57671680
2026-02-23	4970532
2026-03-23	8267496
