region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	6599083457090	239135	35	38
USA/MA	8647098895803	165208	0	96
VPN	8139672037592	4342	395	101
AWS/us-east-1	8114977828107	967476	116	65
USA/NC	444930336	65	65	0
AWS/ap-southeast-1	754193604	146	146	0
CHN	5588796467847	383696	0	67
GCP/us-west1	99323640639	11	2	1
GitHub	4935982506	10060	695	691
USA/CA	726088944	1078	206	200
MEX/CMX	157762177	780	81	60
VNM/HN	5699196	2	2	0
BGD	1048128	1	1	0
USA/IL	6135024	43	2	2
CHE/VD	4226316	26	2	1
USA/VA	1269480	7	1	1
FRA/IDF	119670692	577	25	13
GBR/SCT	22414535	42	2	1
VNM/SG	23779404	2	2	0
CHL	8909088	1	1	0
IND	34708691	151	8	4
USA/PA	15381075	28	2	1
ITA/45	28195488	2	0	1
HKG	1210356682	55	4	2
USA/NY	41271346	52	4	1
IRQ/BA	1572192	1	1	0
PAK/SD	1113636	1	1	0
BRA/SC	3340908	1	1	0
URY/MO	3340908	1	1	0
HUN/BU	71259803	39	2	1
