week_start	sub-G2-09-LP-TDT-PBS/sub-G2-09-LP-TDT-PBS_ecephys.nwb	sub-G2-09-TER-NN-AIR/sub-G2-09-TER-NN-AIR_ecephys.nwb	sub-Gamry-REF-600P-OPEN-LEAD/sub-Gamry-REF-600P-OPEN-LEAD_ecephys.nwb
2024-05-13	1440992	1029280	1029140
2024-07-08	411712	411712	411656
2024-07-22	205856	205856	205828
2024-09-16	411712	411712	411656
2024-10-07	205856	205856	205828
2024-10-21	205856	205856	205828
2025-02-24	205856	205856	0
2025-03-17	0	0	205828
2025-04-21	205856	205856	205828
2025-08-11	0	205856	205828
2025-08-18	205856	0	0
2025-09-08	205856	0	617484
2025-09-15	0	0	205828
2025-10-06	0	823424	205828
2025-12-15	823424	823424	823312
2025-12-29	0	0	205828
2026-01-05	0	205856	0
2026-01-12	617568	617568	617484
2026-01-19	205856	0	0
2026-02-16	616512	616512	616456
2026-02-23	411712	0	0
2026-03-02	0	0	411656
2026-03-09	0	411712	0
2026-03-16	0	0	411656
2026-03-23	308256	308256	514056
2026-03-30	0	205856	205828
2026-04-06	0	0	205828
2026-04-13	205856	0	205828
2026-04-20	411712	0	411656
2026-05-11	411712	0	205828
2026-05-18	205856	411712	823312
2026-06-01	308256	308256	616456
2026-06-08	308256	616512	308228
2026-06-15	0	0	1029140
2026-06-22	205856	205856	617484
