region	bytes_sent
US/New York	265661047124
AWS/us-east-1	163157564992
US/California	145547912124
US/Missouri	72080890382
US/Pennsylvania	33214733720
CN/Shanghai	31507273842
GitHub	12031627152
DE/Lower Saxony	10008094064
US/New Hampshire	5055738478
AWS/us-east-2	3172187144
US/New Jersey	1768751511
HK/Hong Kong	1458562064
CA/Quebec	1205280152
HU/Budapest	1130939594
US/Massachusetts	847246138
GCP/us-central1	579065986
JP/Tokyo	578141216
US/District of Columbia	489370279
AWS/ap-southeast-1	362717796
GB/England	316035480
IL/Haifa	114459452
US/Maine	92497996
US/Maryland	85301844
SE/Stockholm	83702571
KH/Phnom Penh	67839175
US/Washington	37303641
VPN	26017878
IT/Lombardy	26007268
IT/Apulia	23190424
US/Rhode Island	16812752
FR/Auvergne-Rhône-Alpes	16705132
ES/Madrid	9331146
