date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-07-08	71708353	211	63	31
2026-07-09	13383616	30	16	1
2026-07-10	11977932	66	8	4
2026-07-11	14651544	72	10	5
2026-07-12	8936328	46	6	3
2026-07-13	11805492	62	8	4
2026-07-14	9354220	48	6	3
2026-07-15	6402124	30	4	2
2026-07-16	50230792	190	32	35
2026-07-17	6009604	32	4	2
2026-07-18	9257084	50	6	3
2026-07-19	12244060	66	8	4
2026-07-20	3007584	16	2	1
2026-07-21	1764336	5	1	1
2026-07-27	11619632	48	11	6
