date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2024-06-17	238450944	346	342	1
2024-06-18	201539872	705	233	111
2024-06-19	89206992	312	104	104
2024-06-20	2077472	3	3	0
2024-06-22	693856	1	1	0
2024-06-24	1379520	2	2	0
2024-07-09	181343888	636	212	110
2024-07-10	6841856	24	8	8
2024-07-23	689760	1	1	0
2024-07-28	153184896	220	220	0
2024-08-26	689760	1	0	1
2024-08-27	4844704	7	7	0
2024-08-29	689760	1	1	0
2024-08-31	1430720	2	2	0
2024-09-02	704096	1	1	0
2024-09-04	8297600	12	12	0
2024-09-05	3456992	5	5	0
2024-09-06	4844704	7	7	0
2024-09-08	4159040	6	6	0
2024-09-09	7716384	11	11	0
2024-09-10	7695904	11	11	0
2024-09-11	2802048	4	4	0
2024-09-20	191026432	660	220	198
2024-09-29	25879520	37	37	0
2024-09-30	11240960	16	16	0
2024-10-03	2838912	4	4	0
2024-10-07	2073376	3	3	0
2024-10-08	693856	1	1	0
2024-10-09	689760	1	1	0
2024-10-10	4887712	7	7	0
2024-10-12	4859040	7	7	0
2024-10-13	2763136	4	4	0
2024-10-15	689760	1	1	0
2024-10-16	4169280	6	6	0
2024-10-17	1383616	2	2	0
2024-10-22	152491040	219	219	0
2024-10-24	708192	1	1	0
2024-11-12	10424224	15	15	0
2024-11-13	22406144	32	32	0
2024-11-14	6918080	10	10	0
2024-11-16	4163136	6	6	0
2024-11-17	2759040	4	4	0
2024-11-20	12464832	18	18	0
2024-11-22	2069280	3	3	0
2024-11-23	6220128	9	9	0
2024-11-24	4292160	6	6	0
2024-11-26	2112288	3	3	0
2024-11-27	10426272	15	15	0
2024-11-28	2112288	3	3	0
2024-11-29	2069280	3	3	0
2024-11-30	704096	1	1	0
2024-12-01	1397952	2	2	0
2024-12-10	693856	1	1	0
2025-02-01	313261632	457	449	2
2025-02-06	12568507	38	8	2
2025-02-10	1379520	2	2	0
2025-02-11	1422528	2	2	0
2025-02-12	153184896	220	220	0
2025-02-19	693856	1	1	0
2025-02-27	1955512	1205	1	1
2025-03-25	1387712	2	2	0
2025-04-01	12480	26	0	1
2025-07-07	153184896	220	220	0
2025-07-26	5573376	8	0	8
2025-07-28	6281568	9	0	9
2025-07-29	1383616	2	0	2
2025-07-30	4854944	7	0	7
2025-07-31	4844704	7	0	7
2025-08-01	3481568	5	0	5
2025-08-02	4193856	6	0	6
2025-08-03	2767232	4	0	4
2025-08-04	2814336	4	0	4
2025-08-05	4165184	6	1	5
2025-08-06	1387712	2	0	2
2025-08-07	2077472	3	0	3
2025-08-08	704096	1	0	1
2025-08-09	2124576	3	0	3
2025-08-10	2112288	3	0	3
2025-08-11	3469280	5	0	5
2025-08-12	2810240	4	0	4
2025-08-13	2077472	3	0	3
2025-08-14	2073376	3	0	3
2025-08-15	4150848	6	0	6
2025-08-16	2069280	3	0	3
2025-08-17	1422528	2	0	2
2025-08-18	728672	1	0	1
2025-08-19	1383616	2	0	2
2025-08-20	693856	1	0	1
2025-08-21	1387712	2	0	2
2025-08-22	1408192	2	0	2
2025-08-23	689760	1	0	1
2025-08-24	1383616	2	0	2
2025-08-27	2806144	4	0	4
2025-08-28	2120480	3	0	3
2025-08-29	689760	1	0	1
2025-08-30	2077472	3	0	3
2025-08-31	689760	1	0	1
2025-09-01	1383616	2	0	2
2025-09-02	2069280	3	0	3
2025-09-03	689760	1	0	1
2025-09-04	2767232	4	0	4
2025-09-05	1393856	2	0	2
2025-09-06	2791808	4	0	4
2025-09-08	3504096	5	0	5
2025-09-09	2122528	3	0	3
2025-09-10	1393856	2	0	2
2025-09-11	2091808	3	0	3
2025-09-12	693856	1	0	1
2025-09-13	689760	1	0	1
2025-10-08	1710464	6	2	2
2025-12-09	689760	1	1	0
2025-12-12	2802048	4	4	0
2025-12-13	693856	1	1	0
2025-12-14	2077472	3	3	0
2025-12-15	1418432	2	2	0
2025-12-16	153184896	220	220	0
2025-12-17	689760	1	1	0
2025-12-18	154568512	222	222	0
2025-12-19	153921760	221	221	0
2025-12-21	704096	1	1	0
2025-12-22	2077472	3	3	0
2025-12-23	1383616	2	2	0
2025-12-25	2077472	3	3	0
2025-12-26	693856	1	1	0
2025-12-27	689760	1	1	0
2025-12-29	2077472	3	3	0
2025-12-30	2077472	3	3	0
2026-01-01	693856	1	1	0
2026-01-02	3471328	5	5	0
2026-01-03	3465184	5	5	0
2026-01-04	2081568	3	3	0
2026-01-05	2767232	4	4	0
2026-01-06	693856	1	1	0
2026-01-08	1426624	2	2	0
2026-01-09	2771328	4	4	0
2026-01-10	2073376	3	3	0
2026-01-11	2775424	4	4	0
2026-01-12	693856	1	1	0
2026-01-15	728672	1	1	0
2026-01-16	245222400	352	352	0
2026-01-21	1402048	2	2	0
2026-01-22	693856	1	1	0
2026-01-23	9040608	13	13	0
2026-01-24	5583616	8	8	0
2026-01-26	2767232	4	4	0
2026-01-27	7693856	11	11	0
2026-01-28	4185664	6	6	0
2026-01-29	1383616	2	2	0
2026-02-20	17448704	60	20	20
2026-02-25	7955136	28	9	9
2026-02-26	8753024	30	10	10
2026-02-27	6211904	22	7	7
2026-02-28	7789664	26	9	8
2026-03-01	4345792	15	5	5
2026-03-02	7983808	28	9	9
2026-03-03	8753024	30	10	10
2026-03-04	3486464	12	4	4
2026-03-05	12366464	44	14	14
2026-03-06	7763040	26	9	8
2026-03-07	6183232	22	7	7
2026-03-08	7030272	24	8	8
2026-03-09	3523328	12	4	4
2026-03-10	12053536	40	14	13
2026-03-11	693856	1	1	0
2026-03-12	693856	1	1	0
2026-03-17	704096	1	1	0
2026-03-19	53574368	77	77	0
2026-03-20	689760	1	1	0
2026-03-21	1393856	2	2	0
2026-03-24	704096	1	1	0
2026-03-25	2073376	3	3	0
2026-03-26	6071840	14	8	3
2026-03-27	6918080	10	10	0
2026-03-28	3461088	5	5	0
2026-03-29	14062766	36	18	4
2026-03-30	2577184	7	3	2
2026-03-31	2771328	4	4	0
2026-04-01	4859040	7	7	0
2026-04-02	2795904	4	4	0
