region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MA	121904040	183	8	163
VPN	1183016259	1728	1694	19
GitHub	1380913944	4811	1587	1150
CAN/QC	24268576	35	35	0
CHN	285073586	436	409	2
USA/PA	313261632	457	449	2
AWS/us-east-1	393468384	565	565	0
USA/NY	325036467	1689	455	3
AWS/ap-southeast-1	127383200	183	183	0
USA/MD	166762144	257	236	11
USA	197716608	284	284	0
USA/VA	53590944	103	77	1
MEX/CMX	41229056	138	48	45
VNM/SG	3471328	5	5	0
AWS/us-east-2	11889760	17	16	1
AWS/ap-south-1	1379520	2	2	0
DEU/HE	21587360	31	31	0
RUS/BA	176157920	253	253	0
GCP/us-west1	689760	1	1	0
USA/GA	689760	1	1	0
USA/IL	45495072	69	65	2
FRA/IDF	11326912	39	13	13
UKR/30	8426624	12	12	0
BRA/AM	693856	1	1	0
GCP/us-east1	693856	1	1	0
ZAF/GP	693856	1	1	0
AZE/BA	693856	1	1	0
BRA/PA	693856	1	1	0
SGP	3471328	5	5	0
USA/CA	4680032	12	6	3
CHN/SH	1379520	2	2	0
BRA/PE	1383616	2	2	0
IRL/M	689760	1	1	0
MEX/BCN	689760	1	1	0
AGO/BGU	689760	1	1	0
GCP/us-central1	6909888	10	9	1
USA/WA	1883328	6	2	2
AWS/us-west-2	5713964	22	6	2
BGD	3555296	5	5	0
VNM/HN	4902048	7	7	0
BGD/C	1430720	2	2	0
ARG/R	693856	1	1	0
ARG/B	2124576	3	3	0
NLD	22373376	32	32	0
URY/MO	693856	1	1	0
VNM/13	693856	1	1	0
CHL/RM	1383616	2	2	0
RUS/BEL	693856	1	1	0
ZAF/KZN	1402048	2	2	0
BOL	693856	1	1	0
DEU/TH	2112288	3	3	0
ALB/08	693856	1	1	0
JOR/AM	693856	1	1	0
PAK/PB	2120480	3	3	0
MEX/QUE	1387712	2	2	0
VNM/61	693856	1	1	0
MEX/TAM	693856	1	1	0
MYS/10	689760	1	1	0
EST/37	689760	1	1	0
CHE/VD	1735040	6	2	1
COL/VAC	689760	1	1	0
JPN/13	689760	1	0	1
VEN/A	689760	1	1	0
MEX/NLE	689760	1	1	0
MEX/PUE	689760	1	1	0
NGA	704096	1	1	0
VNM/43	693856	1	1	0
VNM/34	693856	1	1	0
USA/TX	693856	1	1	0
VNM/69	693856	1	1	0
ECU/G	693856	1	1	0
HKG	2077472	3	3	0
ECU/P	693856	1	1	0
DZA/16	1383616	2	2	0
JPN/28	4526848	10	6	1
USA/OR	1173856	21	1	1
MAR/06	1387712	2	2	0
EGY/ALX	693856	1	1	0
IND/GJ	689760	1	1	0
VNM/DN	1379520	2	2	0
NGA/LA	689760	1	1	0
VEN/N	689760	1	1	0
TUR/31	693856	1	1	0
VNM/HP	693856	1	1	0
COL/DC	693856	1	1	0
IDN/JB	693856	1	1	0
UZB/TK	693856	1	1	0
GBR/ENG	693856	1	1	0
ZAF/WC	708192	1	1	0
BRA/MG	2810240	4	4	0
COL/NSA	708192	1	1	0
PRY/10	708192	1	1	0
IRQ	689760	1	1	0
DEU/BY	689760	1	1	0
JPN	689760	1	1	0
COG/14	704096	1	1	0
IND/PB	704096	1	1	0
VNM/06	704096	1	1	0
SEN/DK	704096	1	1	0
ARE/AZ	704096	1	1	0
ALB/11	704096	1	1	0
USA/FL	689760	1	1	0
BRA/SP	2073376	3	3	0
BGD/B	689760	1	1	0
ARG/H	693856	1	1	0
BRA/DF	693856	1	1	0
IRQ/BG	693856	1	1	0
VNM/49	1393856	2	2	0
ETH/AA	689760	1	1	0
VNM/56	1408192	2	2	0
PRT	689760	1	1	0
TUN/11	693856	1	1	0
UKR/53	693856	1	1	0
BRA/MA	693856	1	1	0
CIV/AB	1387712	2	2	0
VNM/20	1387712	2	2	0
TUR/58	693856	1	1	0
CAN/BC	693856	1	1	0
PER/CUS	736864	1	1	0
JOR/AZ	736864	1	1	0
BRA/PR	689760	1	1	0
IRQ/AR	689760	1	1	0
ZAF/MP	689760	1	1	0
UKR	689760	1	1	0
BIH/BIH	704096	1	1	0
IDN/YO	704096	1	1	0
KAZ/55	693856	1	1	0
IRQ/NI	693856	1	1	0
