region	bytes_sent
US/New Mexico	44984881946
US/Maryland	34427873272
AWS/us-east-1	26097950200
US/California	26053788690
US/Texas	26039386048
DE/Bremen	19500007378
CN/Shanghai	15636671588
HK/Hong Kong	13581787188
US/Washington	11918881971
VPN	10663130316
CA/British Columbia	7808257728
AWS/us-east-2	5076551560
FR/Provence-Alpes-Côte d'Azur	3278774856
US/North Carolina	3278774856
GitHub	850024332
US/Massachusetts	343000112
CA/Quebec	89234158
US/Virginia	50179128
US/Rhode Island	22040970
US/District of Columbia	12643044
AWS/ap-southeast-1	12446520
US/New York	2938528
