week_start	sub-P1/sub-P1_ses-2018-09-10_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17a_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17b_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-24_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-26_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-01_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-12_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-15_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-17_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-22_ecephys.nwb
2024-05-06	181726944	91283872	127489232	154099084	314296540	0	0	103730600	0	50578432
2024-05-13	0	119259168	0	0	364522740	0	169376128	48814400	211275248	0
2024-05-20	487902608	0	0	165049144	71641144	183901844	0	152545000	117164340	145412992
2024-05-27	163697264	124938176	107875504	0	144641544	101606884	331293016	0	0	6322304
2024-06-03	0	0	0	287684040	147421684	121970976	0	213563000	163916084	94834560
2024-06-10	263219820	130617184	0	0	0	6830664	0	0	0	145412992
2024-07-08	0	4751444	5219344	6370944	6669600	6830664	7680180	12203600	384376	6877440
2024-07-22	0	14571784	0	8892776	33653908	0	10501336	6101800	0	0
2024-08-05	0	0	0	0	9735840	6830664	10501336	6101800	7986552	6322304
2024-08-19	0	0	4903432	0	0	0	0	0	0	0
2024-08-26	0	11358016	0	0	0	0	0	6101800	0	6322304
2024-09-02	10572264	0	9806864	0	0	0	21002672	0	0	12644608
2024-09-09	10572264	34074048	0	36129312	24714560	0	41958616	0	23959656	0
2024-09-16	28793216	27162420	14710296	34446780	19770336	20900128	21380312	24741832	24344032	25289216
2024-09-23	52861320	39753056	29420592	54193968	68150880	40983984	52506680	36610800	47919312	37933824
2024-09-30	10572264	5679008	4903432	9032328	9735840	6830664	10501336	6101800	7986552	6322304
2024-10-21	10572264	0	0	16969352	9735840	1587784	10501336	0	7986552	6322304
2024-11-04	18270488	11358016	9806864	0	15708600	13599792	8843580	12203600	7986552	6322304
2024-11-18	14686832	19852608	4446388	8229136	9699328	4114568	0	4446388	0	10436872
2024-11-25	10572264	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	4903432	0	8388608	0	0	0	0	6322304
2025-01-13	10572264	5679008	4903432	0	9735840	0	16528072	12203600	7986552	6322304
2025-02-24	10572264	0	0	0	0	0	0	0	0	0
2025-04-14	21144528	5679008	4903432	9032328	9735840	6830664	10501336	6101800	7986552	6322304
2025-04-21	0	5679008	4903432	9032328	9735840	0	0	6101800	0	0
2025-06-16	21144528	11358016	9806864	27096984	9735840	13661328	21002672	12203600	15973104	12644608
2025-06-30	0	0	4903432	9032328	9735840	6830664	10501336	6101800	7986552	6322304
2025-07-07	10288080	0	9806864	9032328	0	6830664	0	0	0	6322304
2025-07-14	31716792	7694100	9806864	9032328	9735840	0	10501336	12203600	7986552	0
2025-07-28	10572264	0	0	0	0	0	0	0	0	0
2025-08-04	0	5679008	0	0	0	0	0	6101800	0	0
2025-08-11	4512752	4446388	4247296	9032328	14334212	0	363736	4813788	4910936	4114568
2025-08-18	10572264	0	0	0	0	0	0	0	0	6322304
2025-09-01	0	0	0	0	0	6830664	0	0	7986552	0
2025-09-15	0	17570580	12741536	0	0	4114568	0	4481968	0	4247296
2025-09-22	0	22473576	13869020	0	0	17416292	0	9530428	0	14325588
2025-09-29	0	9731688	0	0	0	0	0	0	0	12644608
