region	bytes_sent
GitHub	530718374
US/California	511011032
AWS/us-east-2	343302922
GCP/us-central1	316577088
GCP/us-east1	282122928
GB/England	232132928
GCP/europe-west4	219428944
CN/Shanghai	216321776
GCP/us-west1	203755448
GCP/asia-east1	172408456
GCP/us-east4	141061464
CA/Ontario	135183014
US/Virginia	126541688
TW/Taiwan	109714472
HK/Hong Kong	108160889
JP/Tokyo	106607304
US/Georgia	104471592
US/New York	94040976
AWS/us-east-1	91667492
VPN	68908320
GCP/us-west4	62693984
US/Washington	62693984
CN/Zhejiang	62693984
US/Indiana	62693984
IL/Haifa	61140400
CA/Quebec	59004688
PT/Lisbon	56341992
US/Massachusetts	50127656
AWS/us-west-2	47020488
DE/Baden-Wurttemberg	47020488
US/Pennsylvania	47020488
GCP/asia-southeast1	47020488
US/Maryland	38415696
GB/Scotland	32463412
CN/Guangdong	31346992
CN/Beijing	31346992
CH/Vaud	31346992
US/New Jersey	31346992
FR/Île-de-France	31346992
HK/Sham Shui Po	31346992
GR/Central Macedonia	31346992
FR/Provence-Alpes-Côte d'Azur	31346992
US/North Carolina	31346992
US/Florida	29793408
IN/Maharashtra	28239824
IR/Fars	17227080
VN/Ho Chi Minh	17227080
US/Oregon	15673496
US/Iowa	15673496
US/Illinois	15673496
US/Connecticut	15673496
US/Tennessee	15673496
AU/New South Wales	15673496
TR/Ankara	15673496
IN/West Bengal	15673496
AWS/ap-southeast-2	15673496
BE/Flanders	15673496
CH/Geneva	15673496
DE/Berlin	15673496
FR/Auvergne-Rhône-Alpes	15673496
HU/Budapest	15673496
NL/South Holland	15673496
AU/Queensland	15673496
IR/Tehran	15673496
IT/Trentino-Alto Adige	15673496
JP/Osaka	15673496
KR/Seoul	15673496
NL/Gelderland	15673496
NL/North Holland	15673496
IN/Karnataka	15673496
US/Rhode Island	4660752
US/Nevada	1553584
VN/Kiên Giang Province	1553584
