week_start	Microscopy
2021-04-19	381654798
2021-06-07	37230204
2021-06-28	3185472
2021-08-16	155036523
2021-08-23	10692174
2021-11-15	749421
2022-02-07	381654798
2022-02-21	401367437
2022-02-28	390312502
2022-04-18	5346087
2022-07-11	411201688
2022-08-01	33748231
2022-08-08	347906567
2022-08-22	447652418
2022-10-10	342560480
2023-01-02	381654798
2023-02-20	32998810
2023-04-10	33748231
2023-06-05	5346087
2023-09-25	342560480
2023-10-16	33748231
2023-10-30	5346087
2023-12-11	42768696
2024-04-01	5346087
2024-07-22	432214186
2024-08-26	72610005
2024-09-02	134992924
2024-10-21	18306484
2024-12-02	32998810
2025-01-20	5346087
2025-03-17	5346087
2025-04-21	5346087
2025-06-16	5346087
2025-07-21	32998810
2025-07-28	347906567
2025-08-04	749421
2025-09-01	20108292
2025-09-08	20658621
2025-09-29	2522842
2025-11-17	80101348
2025-12-15	831111996
2026-01-05	5346087
2026-01-12	1144964394
2026-01-26	342560480
2026-03-16	28914744
2026-03-30	749421
2026-04-20	27484133
2026-05-18	66482690
2026-05-25	13414965
2026-06-01	13870076
2026-06-15	7830952
2026-06-22	6807962
