week_start	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-18-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run2_behavior+ecephys.nwb
2025-04-28	2397151103	2407211257	1879943059	1866625575	0	3547550394	2137463302	42392496	0	14449040	14278472	17341136	17360784	23694592	329103743	307734686	303915197	0	267286366	283710806
2025-05-26	0	2407211257	0	1866625575	1470730520	0	2137463302	21196248	15855264	14449040	14278472	0	0	0	0	307734686	303915197	367545853	267286366	0
2025-06-23	2555296371	2465308657	56108744	3788822566	4433269384	3588609442	2163991974	44065296	17101680	30032304	29117280	54071568	53449328	72956080	1013807725	627898276	924038159	794008834	812687442	590147164
2025-06-30	2432916111	4814422514	0	3003442254	2941461040	5044090559	4274926604	21196248	15855264	14449040	28556944	34682272	34721568	47389184	658207486	307734686	607830394	735091706	0	283710806
2025-07-07	4794302206	4956697726	2018025759	111719812	1470730520	1773775197	4274926604	63588744	31710528	43347120	42835416	34682272	17360784	23694592	329103743	615469372	607830394	735091706	267286366	283710806
2025-07-14	4832443806	4919817466	5676688785	7519946152	4660986024	3796569570	4301597532	22869048	32333736	15016152	29677616	36730432	52082352	49261488	319971471	603476568	798148631	1117458191	278043862	295148782
2025-07-21	590452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	2739404219	431194301	1699863304	1240120396	0	314157405	1914240324	21196248	15855264	14449040	28556944	0	17360784	0	224246143	307734686	0	0	157286400	0
2025-08-04	810039620	2426780229	590635060	2524900731	2705041612	798725104	2137463302	21196248	31710528	14449040	28556944	17341136	34065324	23694592	329103743	307734686	303915197	367545853	267286366	283710806
2025-08-11	118267028	2448026325	4076939262	2112772183	301699184	14935824	2137463302	21196248	15855264	14449040	0	17341136	0	0	329103743	307734686	345686394	0	267286366	283710806
2025-08-18	2397151103	4814422514	4800968377	3733251150	1481249532	3547550394	4274926604	42392496	15855264	28898080	28556944	34682272	34721568	47389184	329103743	412592286	0	367545853	0	283710806
2025-08-25	4337016703	0	1879943059	1866625575	1470730520	1773775197	0	0	15855264	14449040	14278472	17341136	17360784	23694592	329103743	307734686	0	367545853	0	0
2025-09-01	0	0	0	3523535950	19717908	0	0	21196248	0	14449040	0	17341136	0	0	0	0	251486397	0	267286366	0
2025-09-08	2417131043	4395954126	3782420870	5599876725	5358634080	7095100788	6424508886	63588744	47565792	43347120	57113888	52023408	34721568	71083776	987311229	923204058	911745591	1312897012	801859098	693846018
