region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	37223572955	2075	1769	87
USA	3088416924	617	0	88
CHN	12971889960	1401	0	211
GitHub	5749858616	16987	2012	1575
AWS/us-east-1	10769177358	1521	430	220
USA/MA	10971460592	450	0	298
AWS/ap-southeast-1	2647243788	494	494	0
USA/NC	1584966060	220	220	0
AWS/us-east-2	1505878954	43	43	0
AWS/ap-south-1	71179828	2	2	0
USA/CA	13265720	13	5	4
VNM/SG	134749956	13	13	0
MEX/CMX	58632704	200	47	47
GCP/us-central1	182881078	5	5	0
FRA/IDF	41977984	120	25	13
GCP/us-west1	36589872	1	1	0
IND/TS	14084220	2	2	0
GBR/ENG	23058816	2	2	0
BRA/SP	45200520	4	4	0
USA/OH	14411760	1	1	0
BRA/RJ	917112	1	1	0
VNM/HN	110315472	14	14	0
EST/37	34247911	1	1	0
FRA/ARA	11136360	1	1	0
ZAF/KZN	18997320	2	2	0
SGP	16377000	3	3	0
VNM/20	20110956	2	2	0
GCP/us-east1	16311492	2	2	0
ECU/G	6550800	1	1	0
HKG	47820840	7	7	0
IRQ/NI	6354276	2	2	0
COL/VAC	5895720	1	1	0
MAR/06	5306148	1	1	0
BGD	6616308	3	3	0
IRQ/KI	8450532	1	1	0
BGD/C	54961212	6	6	0
ARG/B	30002664	3	3	0
IRQ/BG	7140372	2	2	0
BRA/CE	4978608	1	1	0
IND/OD	10874328	1	1	0
ZAF/FS	2423796	1	1	0
BOL/L	10415772	1	1	0
VNM/68	7598928	2	2	0
VNM/HP	9564168	1	1	0
IDN/YO	53454528	9	9	0
CHE/VD	2448624	8	2	2
VNM/54	1048128	1	1	0
VNM	11136360	2	2	0
SEN/DK	9564168	1	1	0
BRA/PE	5699196	2	2	0
TUN/13	4520052	1	1	0
PAK/PB	9367644	4	4	0
TTO/POS	9629676	1	1	0
TUR/07	1113636	1	1	0
VNM/13	7991976	1	1	0
IDN/JT	8581548	1	1	0
ARG/R	7205880	1	1	0
VEN/A	45003996	5	5	0
MEX/VER	16770048	1	1	0
ARG/N	4978608	1	1	0
BGR/22	12577536	1	1	0
DZA/16	17032080	2	2	0
CHL/RM	7991976	1	1	0
SLV/SM	8712564	1	1	0
USA/IL	2252100	8	2	2
MYS/10	21879672	3	3	0
ARE	13625664	1	1	0
ALB/12	11201868	1	1	0
BRA/SC	19717908	1	1	0
UZB/TK	2358288	1	1	0
COL/DC	22534752	2	2	0
VEN/I	1768716	1	1	0
BRA/RS	6419784	2	2	0
PAN/8	5044116	1	1	0
JOR/AM	27054804	2	2	0
IND/PB	18735288	1	1	0
IND	1113636	1	1	0
CRI/SJ	28889028	2	2	0
PHL/00	7205880	1	1	0
TUR/34	9498660	1	1	0
TUR/16	11136360	1	1	0
MAR/01	3013368	1	1	0
IDN/JK	1048128	1	1	0
BOL/S	11987964	1	1	0
IDN	13232616	2	2	0
SAU/01	1703208	1	1	0
USA/VA	20419888	7	1	1
URY/MO	4454544	1	1	0
VEN/B	9433152	1	1	0
DOM/28	12905076	1	1	0
JAM/01	9040104	1	1	0
ARM	9498660	1	1	0
IRN/23	2816844	1	1	0
PAK/IS	2751336	1	1	0
PER/LMA	10415772	1	1	0
