week_start	derivatives/small table for 7 patients 20241127.xlsx	desktop.ini	setup_bids.py	sourcedata/protein structure and stabilityIMPG2 TABLE original.docx	sub-01/micr/Fig 3. VMD 20241122.1-01.tif	sub-01/micr/sub-01_sample-01_microscopy.ome.tif.jpg	sub-01/micr/sub-01_sample-02_microscopy.ome.tif.tif	sub-01/micr/sub-01_sample-04a_microscopy.ome.tif.tif	sub-01/micr/sub-01_sample-04b_microscopy.ome.tif.tif
2026-06-29	12502	492	1008	1391806	786970100	592951	393160352	4204012	5135692
2026-07-06	0	0	0	0	3209892	0	0	3537432	2882352
