week_start	sub-ACC10/sub-ACC10_image+ophys.nwb	sub-ACC10/sub-ACC10_image+ophys/b3571f90-3e5c-4bf7-af67-352736206bb1_external_file_0.mp4	sub-ACC11/sub-ACC11_image+ophys.nwb	sub-ACC11/sub-ACC11_image+ophys/17938445-231c-4e37-8578-144f003ad3b8_external_file_0.mp4	sub-ACC12/sub-ACC12_image+ophys.nwb	sub-ACC12/sub-ACC12_image+ophys/f2d3829a-d529-440c-b2e6-088cdd8ad264_external_file_0.mp4	sub-ACC13/sub-ACC13_image+ophys.nwb	sub-ACC13/sub-ACC13_image+ophys/870e5f05-03b6-47a3-a2a1-5ad38f37b0a0_external_file_0.mp4
2026-06-08	1976458456	802417126	1977153152	720942414	1983664640	692161516	1932406396	697624567
2026-06-15	0	802417126	0	0	1980711560	692161516	1928863872	0
2026-06-22	1927496052	0	1974295752	723300702	3406416	0	2292780	697624567
2026-06-29	0	802417126	0	720942414	0	692161516	0	697624567
2026-07-06	416692566	0	365072478	2554812	2300998282	695770868	449149846	0
