date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2025-12-25	86868648	361	172	86
2025-12-26	39314144	119	119	0
2025-12-31	28956216	86	86	0
2026-01-05	50508832	258	86	43
2026-01-06	50508832	258	86	43
2026-01-07	25254416	129	43	43
2026-01-08	75763248	387	129	86
2026-01-10	293656	1	1	0
2026-01-12	2089320	6	6	0
2026-01-13	4190048	13	13	0
2026-01-14	4531808	13	13	0
2026-01-15	2432872	7	7	0
2026-01-16	89536816	267	267	0
2026-01-23	54638752	271	99	86
2026-01-24	53170272	266	94	86
2026-01-26	2272768	7	7	0
2026-01-27	29252448	140	54	43
2026-01-28	51898880	262	90	43
2026-01-29	26195456	132	46	43
2026-01-30	50477208	258	86	86
2026-02-04	50508832	258	86	86
2026-02-05	50477208	258	86	86
2026-02-10	50508832	258	86	86
2026-02-12	50508832	258	86	86
2026-02-17	50508832	258	86	86
2026-02-18	293656	1	0	1
2026-02-19	23369824	70	0	70
2026-02-20	12927792	54	13	28
2026-02-24	51390376	262	87	88
2026-02-25	1273712	8	2	2
2026-02-26	5023456	30	7	7
2026-02-27	4901264	28	7	7
2026-02-28	56101844	289	94	93
2026-03-01	5161504	28	8	8
2026-03-02	4728472	28	7	7
2026-03-03	2493600	13	4	4
2026-03-04	4591616	25	7	7
2026-03-05	5861104	32	9	9
2026-03-06	4542032	25	7	7
2026-03-07	2109168	11	3	3
2026-03-08	6142288	34	10	10
2026-03-09	2746192	15	4	4
2026-03-10	3295952	19	5	5
2026-03-18	75469592	386	128	86
2026-03-19	67634144	308	136	0
2026-03-20	50508832	258	86	86
2026-03-26	1761936	9	3	3
2026-03-27	25254416	129	43	43
2026-03-29	5801672	29	6	2
2026-03-30	1592328	7	2	2
2026-04-10	57912432	275	86	86
2026-04-20	50508832	258	86	43
2026-04-21	116044960	560	216	86
2026-04-22	50508832	258	86	43
2026-05-12	293656	1	1	0
2026-05-15	5668024	33	8	9
2026-05-16	4645624	22	6	8
2026-05-17	5214944	23	4	10
2026-05-18	19395712	66	52	5
2026-05-19	6418184	26	15	5
2026-05-20	587312	3	1	1
2026-05-21	2805168	16	4	4
2026-05-22	2840832	15	4	4
2026-05-23	778736	5	1	1
2026-05-24	2312928	14	3	3
2026-05-25	3299744	19	5	5
2026-05-26	1581952	9	2	2
2026-05-27	15000376	76	24	24
2026-05-28	14150184	71	23	23
2026-05-29	4567408	24	8	6
2026-05-30	5656560	32	8	8
2026-05-31	4669200	25	7	7
2026-06-01	1486880	9	2	2
2026-06-02	587312	3	1	1
2026-06-03	3373936	18	5	4
2026-06-04	4304592	23	7	7
2026-06-05	1929904	11	3	3
2026-06-07	1050176	3	3	0
2026-06-08	856640	2	2	0
2026-06-09	778824	2	2	0
2026-06-10	11433312	62	18	12
2026-06-11	8349424	43	13	6
2026-06-12	12835784	70	20	9
2026-06-13	9740432	53	15	7
2026-06-14	29923528	89	89	0
2026-06-15	3453680	13	7	1
2026-06-16	990752	3	3	0
2026-06-17	5261152	29	9	3
2026-06-18	6885736	36	12	5
2026-06-19	2838040	13	5	2
2026-06-20	5190064	26	8	3
2026-06-21	7208992	38	12	5
2026-06-22	4242688	24	6	3
2026-06-23	5224256	28	8	4
2026-06-24	6057264	28	12	3
2026-06-25	4892128	26	8	4
2026-06-26	15458448	48	44	1
2026-06-27	7199480	37	13	4
2026-06-28	4892128	26	8	4
2026-06-29	3725568	11	11	0
2026-06-30	4098240	22	6	3
2026-07-01	7670880	42	12	6
2026-07-02	2589536	14	4	2
2026-07-03	3764160	20	6	3
2026-07-05	2349248	12	4	2
2026-07-06	7759996	45	10	9
2026-07-07	3623300	22	4	2
2026-07-08	4291104	24	6	3
2026-07-09	16591808	55	45	2
2026-07-10	6738592	38	10	5
2026-07-11	6066752	32	10	5
2026-07-12	4847328	26	8	4
2026-07-13	5405952	28	9	5
2026-07-14	5417280	32	8	4
2026-07-15	6569488	37	10	6
2026-07-16	10009888	58	14	7
2026-07-17	10860832	57	14	7
2026-07-18	9154752	54	13	7
2026-07-19	14519280	85	21	15
2026-07-20	12021112	68	14	9
2026-07-24	587312	3	1	1
2026-07-26	707456	4	1	1
2026-07-27	5019696	27	7	7
2026-07-28	10960384	58	16	16
2026-07-29	10610304	57	13	13
2026-07-30	5727600	33	8	8
2026-07-31	4551168	24	7	7
2026-08-01	1869088	10	2	2
