week_start	Microscopy	Miscellaneous
2024-10-21	17099353499	0
2024-10-28	5066923961	0
2024-11-04	335151733	0
2024-11-11	1485588252	0
2024-11-18	3349734683	0
2024-11-25	122542274	0
2024-12-02	335672749	0
2024-12-09	208157602	0
2024-12-30	114648893	0
2025-02-03	132115460	0
2025-02-10	150868057	0
2025-03-03	367310140	0
2025-03-10	3033996769	0
2025-03-17	14677624085	0
2025-03-24	268559686	0
2025-03-31	149882922	0
2025-04-21	3419527483	0
2025-04-28	1971237888	0
2025-05-05	715425507	0
2025-05-12	1579165759	0
2025-06-02	87360412	0
2025-06-09	259518621	0
2025-06-23	111833	0
2025-06-30	693788969	0
2025-07-14	591200157	0
2025-07-28	10738945	0
2025-08-11	74679250	0
2025-08-18	530902301	0
2025-08-25	9536007	0
2025-09-01	1269174970	0
2025-09-15	1682743911	0
2025-09-22	10350911510	0
2025-09-29	5923793730	165189978
2025-10-06	5026487105	0
2025-10-13	85507171	0
2025-11-03	1171433820	0
2025-11-10	574096467	0
2025-11-17	7007378	0
2025-12-15	0	90881751
2026-01-19	5669	0
2026-02-02	0	78435231
2026-02-16	330368500	0
2026-02-23	4145	0
2026-03-09	38341793	0
2026-03-16	208482255	0
2026-03-23	188778997	0
2026-03-30	24	0
2026-04-06	475622799	0
2026-04-20	281031901	0
2026-05-25	38960	0
2026-06-15	27130890	0
2026-06-22	24	0
2026-07-13	1132193	0
2026-07-20	27179	0
2026-07-27	177868970	0
