week_start	sub-amadeus/sub-amadeus_ses-08152019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-08152019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-08212019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-08212019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-08232019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-08232019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-08272019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-08272019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-08292019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-08292019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-09172019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-09172019_ecephys.nwb	sub-mahler/sub-mahler_ses-04122021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04122021_ecephys.nwb	sub-mahler/sub-mahler_ses-04132021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04132021_ecephys.nwb	sub-mahler/sub-mahler_ses-04142021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04142021_ecephys.nwb	sub-mahler/sub-mahler_ses-04212021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04212021_ecephys.nwb	sub-mahler/sub-mahler_ses-04222021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04222021_ecephys.nwb	sub-mahler/sub-mahler_ses-04252021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-04252021_ecephys.nwb	sub-mahler/sub-mahler_ses-05042021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-05042021_ecephys.nwb	sub-mahler/sub-mahler_ses-05062021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-05062021_ecephys.nwb	sub-mahler/sub-mahler_ses-05072021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-05072021_ecephys.nwb
2024-09-09	0	12330434903	216116782	13858664751	0	0	368666056	0	0	11812661399	174441125	0	0	31107358820	0	0	0	28303477710	0	0	140513638	13484819962	0	24608371276	0	15454043172	0	0	0	10295909059
2024-09-16	45406281	21529755	25946768	6616308	13797468	0	10284756	0	13980885	9826200	0	6878340	9236628	7346324	4389036	22051597	47064883	13101600	18384781	0	0	10793049	20561103	428040	39332461	789108	30143704	336813	48925853	7133107
2024-09-23	31843101	6065107	29094230	6098027	27560028	9577786	30759888	5914268	33510613	10491163	32883365	9149011	27878972	6890568	33429813	10323705	26752643	10212034	29724385	8875369	30363330	6341025	27969387	8685576	31730285	6554938	34451096	7021485	30383505	5890807
2024-10-07	360687685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	91215808	0	0	0	0	0	0	0	0	0	0	0	0	100648960	0	0	0	0	0	0	0
2024-10-28	367310206	6065107	339072228	25619411	353697704	16718158	410167936	15805976	343710242	21007178358	298219926	9149011	418955600	0	35591577	10323705	352342726	10212034	307237558	16736329	288788580	13612413	319207899	0	700860178	0	8385024	9826200	742713850	0
2024-11-11	343131541	1985592872	301723990	0	0	2552560628	371547088	1471125696	300897493	0	258327205	2432885676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	42726448	0	28507236	0	59171196	0	94041948	0	102236160	0	49213644	0	82047600	0	9370724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184549376	0	176160768	0	0	0	0	0	0	0	0	0	0	0
2024-12-16	0	0	0	0	0	10153740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	0	0	0	0	0	0	28540368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	32950524	0	32426460	0	0	0	0	0	0	0	33802128	0	0	0	0	0	0	0	33474588	0	33540096	0	32033412	0	67604256	0	12381012	0	24303468
2025-02-17	333829405	278916736	0	0	96184	0	0	0	0	0	0	13543886859	384394812	521971924	0	0	0	0	0	24010780009	0	0	0	0	0	0	0	0	0	0
2025-02-24	100390797	0	15983952	4192512	0	0	0	4061496	4127004	8778072	5699196	6223260	0	0	9695184	0	4127004	0	0	0	4127004	4127004	0	0	9302136	4127004	6747324	0	0	6157752
2025-03-03	66496	18780818387	301723990	0	315918428	0	371547088	19362627228	0	13940823323	0	0	384394812	36722779208	0	0	309868163	0	270896865	0	501128580	28915581345	311084907	28545681416	346303085	0	0	0	0	31625700087
2025-03-10	83120	0	0	0	0	218426	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-17	66496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	66496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	325544125	18780818387	301723990	16232811627	0	0	0	0	300897493	0	0	0	0	0	0	0	0	0	0	0	0	28915581345	0	28545681416	346303085	0	0	0	0	31625700087
2025-04-07	83120	18791494027	307141710	0	332449412	0	388115512	19378713588	16487200	13951477435	258327205	13504679851	384394812	36733454848	291052421	16268494585	315287923	33512572954	287402921	24021623481	5420752	28931667705	311084907	5242888	362874821	29455811898	0	16086360	0	31641786447
2025-04-14	99744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	4226748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	66496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	4192512	10485760	0	10485760	0	0	0	10485760	0	10485760	0	0	0	0	0	10485760	0	10485760	0	10485760	0	10485760	0	10485760	0	10485760	0	10485760	0	10485760
2025-05-19	4389036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	1128236136	631087936	269646627	457321768	323276782	384254824	448912933	688508368	232767412	378596944	453753643	284375144	605345002	967561912	384771275	358350432	238599353	1061094224	240793750	651875952	309319497	841284488	276320026	746871016	253896410	803899728	336344033	389635472	478806980	498866904
2025-06-16	11070852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	98941	0	30851	0	70759	0	153267	0	85174	0	26756	0	37962	0	25961	0	112169	0	36874	0	60947	0	72968	0	127986	0	85745	0	129153	0
2025-07-14	148097	0	60571	0	96184	0	54323	0	72537	0	127491	0	66459	0	105078	0	81319	0	96988	0	61034	0	132649	0	84375	0	60318	0	14173	0
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14627635200	0	0	0	0	0	0	0	0	0	0
2025-07-28	33248	10287352787	144437590	10643046400	0	0	319118288	0	0	0	0	13958019935	227108412	0	0	10276044800	0	18634320008	0	0	0	0	206227307	0	0	0	0	0	0	2428576584
2025-08-04	46769338	0	0	0	0	6093032468	0	11655593628	0	8336179200	101040805	0	0	25922446408	0	0	152581763	0	113610465	0	52428800	0	0	0	0	20132659200	0	0	0	20604518400
2025-08-11	123983189	0	0	0	0	0	0	0	161413404	5016975	0	0	0	13234676808	0	0	0	0	0	0	0	0	0	16120055816	0	0	318874536	4865057	0	0
2025-08-18	16919032	0	0	0	52428800	7130316800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52428800	0	0	14417920000	0	0
2025-08-25	33248	0	0	0	0	0	0	0	0	0	0	0	227108412	0	0	0	0	0	0	0	0	0	0	0	0	0	50179736	0	0	0
2025-09-01	168718040	0	0	0	0	0	0	0	0	7811891200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	4192512	9175040000	0	0	0	0	209715200	0	0	0	0	0	0	0	274602293	0	0	0	0	0	0	13553942945	104857600	0	241445485	22692496698	0	0	261070225	0
2025-09-15	33248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	333715013	0	301723990	0	0	0	0	0	0	0	0	0	384394812	0	0	0	0	0	0	0	0	0	311084907	0	0	0	312323736	0	313499025	0
2025-10-06	101496918	0	0	0	0	0	0	0	0	0	0	0	16226084	13513644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	33248	0	0	0	0	0	0	0	0	0	0	0	47826648	37111260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	33248	0	0	0	0	0	0	0	0	0	0	0	18214128	9821940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	33248	0	0	0	0	0	0	0	0	0	0	0	23805112	4824336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	16624	0	0	0	0	0	0	0	0	0	0	0	56171872	45973836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	49872	0	0	0	0	0	0	0	0	0	0	0	31928104	37200024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	0	0	0	22668672	24449220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	16624	0	0	0	0	0	0	0	0	0	0	0	32170236	28052160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	0	0	0	0	0	0	0	0	0	0	0	17559048	19405104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	15852936	0	0	0	0	0	0	0	0	0	0	29330588	18773280	8254008	0	0	0	0	17179307369	0	0	0	0	0	0	0	0	0	0
2025-12-15	660976994	0	315087622	4127004	640352896	10181415586	747155672	0	317602033	13946981075	267956881	0	33634216	32441196	278729297	9907699761	315829391	6485292	0	8188500	18538764	5764704	319338915	13101600	363466181	0	660742380	0	317626029	5830212
2025-12-22	0	18780818387	0	16232811627	0	0	0	19362627228	0	0	0	6069918291	0	36722779208	0	16268494585	136853123	33496486594	166039265	0	0	0	0	28545681416	0	0	0	17914920960	0	31625700087
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33496486594	0	0	0	0	0	0	0	0	0	28496831405	0	31625700087
2026-01-05	0	0	0	0	0	0	0	12247367680	178257920	0	0	0	36909616	19601628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	34899376	0	0	0	0	1614477708	0	0	0	0	0	3208029692	0	4389921540	0	3268592236	309868163	0	541793730	10086088824	0	0	0	14709250104	335817325	0	0	16690482612	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	12099080	5629428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	178257920	10789847040	173015040	8163164160	220200960	0	0	0	0	0	153469605	0	252564816	19868585492	0	0	0	17490247680	0	0	177163970	14543749120	157286400	18271436800	193986560	15503196160	0	0	203398545	17920811767
2026-02-02	0	0	0	0	0	0	230686720	0	0	8640266240	0	0	5722000	14037708	154016053	0	0	0	0	0	0	0	0	0	0	0	152043520	0	0	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	0	16291592	8885832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	819200	6559076	512000	7877512	10612296	409600	9466256	0	10939836	8319516	10939836	0	6311572	500808	0	0	152581763	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	0	4490631	0	4127004	0	0	0	0	1815205	0	20834448	5652684	8712564	308985	1541763	0	0	0	0	0	0	350216	10251401	4476502	1334936	0	0	0
2026-03-02	0	351187	0	0	4454544	0	4520052	0	0	0	0	363091	6115048	0	0	0	0	0	4541001	4593229	3897842	381345	0	0	0	0	0	4668533	1793425	5032755
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320194	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	10677804	0	0	0	0	0	8974596	11116460	11113104	0	0	12249996	0	12315504	0	0	0	0	0	0	0	0	7926468	0	0
2026-03-23	4499712	0	307200	0	0	0	15053892	0	4127004	0	0	0	7579028	15072200	0	0	0	859880	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	6419784	9564168	0	0	9760692	0	8319516	65049444	1048128	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	11332884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614400	0	0	0	0	0	0	0	0	0
2026-04-13	60136344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
