region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
CAN/ON	3233509590	59	59	0
CHN	9713320195	1342	67	679
VPN	18083168621	857	549	38
USA/MA	5552774726	367	7	94
GitHub	16200937099	53889	478	372
USA	1279686351	200	56	14
AWS/us-east-1	3949882715	523	115	56
USA/WA	3175805260	60	58	2
CAN	3164202068	56	56	0
AWS/ap-southeast-1	397437036	77	77	0
USA/VA	3164202068	56	56	0
VNM/HN	62036076	2	2	0
AWS/us-east-2	372259659	7	7	0
GCP/us-central1	466871552	10	10	0
CHN/SH	2005944197	48	39	6
MEX/CMX	359579699	1562	105	62
GCP/europe-west4	883582057	4132	29	29
ARG/C	3013368	1	1	0
VNM/SG	20569512	2	2	0
PSE/GZA	1310160	1	1	0
COL/HUI	3013368	1	1	0
USA/IL	269718589	1361	13	13
GCP/asia-southeast1	334998183	1730	13	13
USA/MD	122978919	121	10	6
USA/WI	69708393	2	2	0
DEU/NW	62159821	182	4	3
USA/CA	127198357	114	7	5
USA/PA	232601	20	0	1
USA/CT	87608007	2	2	0
OMN/MA	14346252	1	1	0
PSE	1113636	1	1	0
TUR/34	1179144	1	1	0
ECU/G	7074864	1	1	0
VNM/34	9302136	1	1	0
ZAF/GP	1703208	1	1	0
LVA/RIX	24237960	1	1	0
ESP/VC	8581548	1	1	0
UKR/30	7140372	1	1	0
REU	2423796	1	1	0
BRA/ES	1965240	1	1	0
AWS/us-west-2	176312232	566	6	2
UZB/TK	6616308	1	1	0
BRA/RS	5830212	1	1	0
USA/FL	15197856	1	1	0
BGD	6288768	1	1	0
SYR/DI	2358288	1	1	0
GRC/I	9498660	1	1	0
CHL/LL	39158772	1	1	0
DOM/01	2685828	1	1	0
PRI	27284111	1	1	0
EST/37	27284111	1	1	0
CHE/VD	7594538	46	2	1
USA/MO	1703208	1	1	0
ITA/75	1048128	1	1	0
PHL/00	2030748	1	1	0
VNM	1113636	1	1	0
FRA/IDF	4563761	23	3	3
TUR/07	1	1	0	1
UKR/68	4389036	1	1	0
ISR/Z	12708552	1	1	0
IDN/YO	2620320	2	2	0
KAZ/11	1048128	1	1	0
IRQ/DA	2751336	1	1	0
ARG/M	3733956	1	1	0
