week_start	sub-anm369962/sub-anm369962_ses-20170309.nwb	sub-anm369962/sub-anm369962_ses-20170313.nwb	sub-anm369962/sub-anm369962_ses-20170314.nwb	sub-anm369962/sub-anm369962_ses-20170316.nwb	sub-anm369962/sub-anm369962_ses-20170317.nwb	sub-anm369963/sub-anm369963_ses-20170227.nwb	sub-anm369963/sub-anm369963_ses-20170228.nwb	sub-anm369963/sub-anm369963_ses-20170301.nwb	sub-anm369963/sub-anm369963_ses-20170302.nwb	sub-anm369963/sub-anm369963_ses-20170306.nwb	sub-anm369963/sub-anm369963_ses-20170309.nwb	sub-anm369963/sub-anm369963_ses-20170310.nwb	sub-anm369964/sub-anm369964_ses-20170321.nwb	sub-anm369964/sub-anm369964_ses-20170322.nwb	sub-anm369964/sub-anm369964_ses-20170323.nwb	sub-anm372793/sub-anm372793_ses-20170504.nwb	sub-anm372793/sub-anm372793_ses-20170508.nwb	sub-anm372793/sub-anm372793_ses-20170512.nwb	sub-anm372793/sub-anm372793_ses-20170513.nwb	sub-anm372793/sub-anm372793_ses-20170514.nwb	sub-anm372794/sub-anm372794_ses-20170621.nwb	sub-anm372794/sub-anm372794_ses-20170622.nwb	sub-anm372794/sub-anm372794_ses-20170624.nwb	sub-anm372794/sub-anm372794_ses-20170625.nwb	sub-anm372794/sub-anm372794_ses-20170626.nwb	sub-anm372794/sub-anm372794_ses-20170627.nwb	sub-anm372795/sub-anm372795_ses-20170714.nwb	sub-anm372795/sub-anm372795_ses-20170715.nwb	sub-anm372795/sub-anm372795_ses-20170716.nwb	sub-anm372795/sub-anm372795_ses-20170718.nwb	sub-anm372797/sub-anm372797_ses-20170615.nwb	sub-anm372797/sub-anm372797_ses-20170617.nwb	sub-anm372904/sub-anm372904_ses-20170615.nwb	sub-anm372904/sub-anm372904_ses-20170616.nwb	sub-anm372904/sub-anm372904_ses-20170617.nwb	sub-anm372904/sub-anm372904_ses-20170618.nwb	sub-anm372904/sub-anm372904_ses-20170619.nwb	sub-anm372905/sub-anm372905_ses-20170715.nwb	sub-anm372905/sub-anm372905_ses-20170716.nwb	sub-anm372905/sub-anm372905_ses-20170717.nwb	sub-anm372906/sub-anm372906_ses-20170608.nwb	sub-anm372906/sub-anm372906_ses-20170610.nwb	sub-anm372906/sub-anm372906_ses-20170611.nwb	sub-anm372906/sub-anm372906_ses-20170612.nwb	sub-anm372907/sub-anm372907_ses-20170608.nwb	sub-anm372907/sub-anm372907_ses-20170610.nwb	sub-anm372907/sub-anm372907_ses-20170612.nwb	sub-anm372907/sub-anm372907_ses-20170613.nwb	sub-anm372909/sub-anm372909_ses-20170520.nwb	sub-anm372909/sub-anm372909_ses-20170522.nwb
2021-08-16	1593840	34428228	22369464	1828704	16388672	12919616	829896	1480548	843036	20000148	1352580	1814532	1499592	15142800	852888	1073472	1072272	1412424	11038224	10919376	1962552	1205616	14254872	17054628	9858576	1660260	931080	646312	1626440	904696	17912424	1016592	1164636	725200	1154760	18756960	8200512	1032072	1662132	1345308	20828736	749576	677304	648696	877752	699456	1333560	517984	705784	5670812
2021-09-20	796920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-27	1593840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54079652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-11	796920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-01	2390760	34428228	22369464	1828704	24583008	6459808	276632	493516	281012	6666716	450860	604844	499864	5047600	426444	357824	357424	470808	5519112	5459688	654184	602808	4751624	5684876	4929288	553420	465540	323156	813220	452348	5970808	338864	388212	362600	384920	9378480	4100256	344024	554044	448436	6942912	374788	338652	324348	438876	349728	444520	258992	352892	5670812
2021-11-08	3984600	57053456	37282440	3657408	40971680	12919616	1106528	1480548	1124048	26666864	2705160	3629064	2999184	25238000	2985108	1789120	2501968	1883232	33114672	38217816	3270920	1808424	38012992	22739504	29575728	1660260	1862160	1938936	4066100	2261740	35824848	1355456	1552848	1087800	3464280	46892400	6290268	2064144	2770220	2242180	34714560	2248728	2031912	1621740	1755504	349728	2222600	1553952	2117352	39695684
2021-11-15	796920	20435216	7456488	609568	16388672	0	276632	987032	281012	0	450860	1209688	499864	5047600	852888	715648	357424	941616	11038224	5459688	1308368	602808	4751624	5684876	0	553420	465540	646312	1626440	1242624	11941616	677728	388212	725200	384920	18756960	4100256	688048	1662132	896872	13885824	0	338652	648696	438876	349728	889040	517984	705784	11341624
2021-11-29	1593840	22952152	14912976	1219136	8194336	19379424	553264	987032	562024	13333432	901720	1209688	999728	5047600	852888	715648	1072272	470808	16557336	16379064	1308368	1205616	4751624	11369752	9858576	553420	931080	646312	2439660	2004432	11941616	1016592	1164636	725200	769840	28135440	8200512	344024	1662132	448436	13885824	374788	338652	324348	438876	699456	444520	517984	705784	11341624
2022-01-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-14	6533596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-28	796920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-07	796920	11476076	7456488	609568	0	6459808	276632	493516	0	6666716	450860	0	499864	5047600	0	357824	0	470808	5519112	5459688	654184	602808	4751624	5684876	4929288	553420	465540	323156	813220	452348	5970808	338864	388212	362600	384920	9378480	4100256	344024	554044	448436	6942912	374788	338652	324348	438876	349728	444520	258992	352892	5670812
2022-03-14	796920	0	7456488	0	0	0	276632	0	281012	6666716	450860	604844	0	0	0	357824	357424	0	0	5459688	654184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344024	0	0	0	374788	0	0	438876	349728	444520	0	352892	5670812
2022-03-21	0	0	0	609568	0	6459808	0	0	0	0	0	0	499864	5047600	0	0	0	0	5519112	0	0	0	0	0	0	0	0	323156	0	0	5970808	0	388212	362600	384920	9378480	4100256	344024	554044	448436	6942912	374788	338652	324348	438876	349728	444520	258992	352892	5670812
2022-03-28	796920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	1534600	508360	22415372	1299600	16504832	12982880	588492	807220	410800	13398808	931840	884536	905080	10238000	836544	450528	343684	1015360	11018744	5664284	1365800	805520	9406928	5836944	10041760	1044512	970840	375260	1511200	1985884	12090064	708112	680928	537072	552224	9619352	4134648	204328	755288	723884	7020636	461860	469140	664936	946096	355340	518164	315624	288128	11409112
2022-04-25	2002952	12126340	414504	405856	8733912	594352	469520	638664	437560	329104	637944	574984	422240	373000	301088	449976	395200	442432	428968	502640	251048	415896	370072	287248	214872	333704	401944	276520	207816	289944	364152	210136	338272	362952	283304	419400	406200	272824	488864	327024	458624	402136	357880	369296	202544	404480	372272	311920	333464	328976
2022-05-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-16	243200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-04	4851564	11729196	7575948	2738320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	3301580	11476076	7456488	1610576	8194336	6459808	276632	493516	281012	6666716	0	604844	499864	5047600	0	357824	357424	0	5519112	5459688	654184	0	4751624	0	0	553420	465540	0	0	65259888	0	0	388212	0	384920	0	0	0	554044	0	0	0	338652	324348	438876	0	444520	258992	352892	0
2022-07-18	1593644	0	0	117840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258992	0	0
2022-07-25	796920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258992	0	0
2022-08-01	8328828	8388608	0	6859176	0	0	6915800	0	0	6666716	0	0	0	0	0	0	0	470808	5519112	0	0	0	0	0	0	0	465540	0	0	6785220	0	0	0	0	0	0	0	0	0	448436	0	749576	338652	324348	0	0	0	4402864	0	0
2022-08-08	0	0	7456488	0	0	0	7745696	493516	0	0	0	604844	499864	0	426444	357824	0	0	0	0	654184	602808	4751624	5684876	4929288	553420	0	323156	813220	904696	5970808	0	0	362600	384920	0	4100256	0	0	0	0	0	0	0	438876	349728	444520	6474800	352892	5670812
