week_start	Neurophysiology	Video
2025-08-25	5887421744	50071870980
2025-09-01	514886136	3598337020
2025-09-08	378931608	3059995902
2025-09-22	1110377348	0
2025-11-10	16	52406400
2025-12-08	51967264	535348614
2025-12-15	6042943304	27970798238
2025-12-22	158937256	1013358436
2025-12-29	328988736	3425529498
2026-01-05	279665264	2246472216
2026-01-12	2343873864	18732515178
2026-01-19	567006712	4293217302
2026-01-26	1070757240	7253425946
2026-02-02	557045784	4234553710
2026-02-16	177522604	557056
2026-02-23	535777016	446076432
2026-03-02	621297220	196608
2026-03-09	138151956	2750228928
2026-03-16	1581022032	3306195324
2026-03-23	557884524	17556144
2026-03-30	497926956	147750652
2026-04-06	1185372348	166110590
2026-04-13	1127735048	129443808
2026-04-20	3046981232	1189756296
2026-04-27	3696951488	285287340
2026-05-11	556744504	1241896516
2026-05-18	2103481728	2718414290
2026-05-25	653897932	22403736
