date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-06-20	12059202522	1438	0	1
2026-06-22	36683437761	3168	0	3
2026-06-23	215021155773	23176	0	16
2026-06-24	417946083290	34903	0	22
2026-06-25	547059988775	33169	44	34
2026-06-26	106255970596	12691	0	57
2026-06-29	796432375	146	6	3
2026-06-30	83474684	56	6	2
2026-07-02	91097410	38	3	2
