region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/PA	1341547773	105	6	6
AWS/us-east-1	3100225772	380	14	13
GitHub	30239418068	2497	246	222
USA/CA	15352636	13	4	4
USA	3482963664	98	13	2
USA/NJ	1598493347	153	8	1
CHN/HN	3143348952	19	13	6
VPN	7868796796	265	148	36
USA/NY	4085864459	632	35	21
USA/VA	3087648236	14	14	0
USA/MI	349838168	5	3	1
USA/MA	3974834086	284	0	45
CHN	7718551628	534	13	14
AWS/ap-southeast-1	77823504	12	12	0
MEX/CMX	50923988	161	47	34
USA/NC	77233932	13	13	0
IDN/YO	2816844	1	1	0
VNM/HN	10481280	1	1	0
ARE/AZ	13298124	1	1	0
CAN/ON	216299432	1	1	0
USA/IL	10685016	7	2	2
TUR/34	24565500	1	1	0
COL/ANT	8712564	1	1	0
USA/FL	841025812	183	6	5
FRA/IDF	5658516	9	3	3
KEN/28	1703208	1	1	0
USA/MD	3799464	1	1	0
VEN/J	5895720	1	1	0
SVK/BL	4585560	1	1	0
EST/37	172729712	1	1	0
CHE/VD	1307624	4	1	1
VNM/44	12839568	1	1	0
VNM/72	23844912	1	1	0
VEN/V	8712564	1	1	0
SAU/01	1048128	1	1	0
VNM/43	11463900	1	1	0
MEX/BCN	14608284	1	1	0
VNM/68	1375668	1	1	0
