region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	4675705240	5334	1302	1147
USA/VA	684812296	101	101	0
VPN	4409665196	831	760	33
CAN/QC	46630744	8	8	0
NLD	118735152	15	15	0
TWN/CHA	1286559880	184	163	7
USA	81822264	18	15	1
GCP/us-east1	590215808	85	79	3
USA/CA	1136528960	545	237	154
USA/MA	829498222	147	0	119
USA/AZ	533883864	76	76	0
HKG/KKC	39777384	7	5	1
CHN	1286308336	240	191	13
NLD/NH	527941408	76	76	0
USA/PA	7689863188	1060	109	27
USA/FL	570814384	95	80	1
CAN/ON	1048173472	150	150	0
USA/NC	372521104	75	75	0
AWS/us-east-1	2043653372	372	274	74
KOR/26	558385480	81	81	0
ITA/45	555630384	154	1	73
AWS/ap-southeast-1	218195616	76	76	0
ARG/D	2030748	1	1	0
BGD	29020044	7	7	0
GBR/ENG	524086736	75	75	0
ZAF/KZN	10313436	2	2	0
VNM	8195784	1	1	0
bogon	524086736	75	75	0
KOR/30	524086736	75	75	0
AWS/us-east-2	11370011740	2397	65	22
USA/NY	5078793807	715	106	25
USA/IL	253227764	45	41	2
USA/MD	44587920	4	4	0
GCP/us-central1	239654392	35	22	6
GCP/us-west1	21242248	3	1	1
GCP/asia-east1	36018416	6	1	3
GCP/us-west4	37132000	6	2	2
DZA/27	1703208	1	1	0
SYR	3799464	2	2	0
LBN/BA	3276200	1	1	0
USA/NJ	39750048	5	5	0
MEX/CMX	148866880	303	102	57
IDN	2921912	1	1	0
BRA/PB	1048128	1	1	0
JOR/AM	6062308	2	2	0
ETH/GA	4293592	1	1	0
VNM/SG	36806604	8	8	0
CIV/AB	1637700	1	1	0
BRA/SP	9861772	2	2	0
FRA/IDF	15005388	39	13	13
UKR/30	48797764	9	9	0
CHL/BI	3340696	1	1	0
MMR	3340696	1	1	0
SGP	7589256	3	3	0
ARG/B	31215408	7	7	0
IRQ/BG	10774828	4	4	0
NPL/P1	3340696	1	1	0
CHL/RM	6187536	6	6	0
BGR/24	907864	1	1	0
ARE/AZ	907864	1	1	0
BRA/PR	4677692	2	2	0
BRA/CE	12392376	2	2	0
COL/ATL	3039992	1	1	0
USA/WA	165495356	97	19	4
CHE/ZH	6967552	128	0	1
IRN	44923898	6	5	1
DEU/TH	10148688	2	2	0
IND/TS	8719060	2	2	0
ZAF/GP	6033232	1	1	0
MEX/TLA	3078876	1	1	0
IDN/JB	6033232	1	1	0
CHN/SH	4230448	2	2	0
PAK/IS	1674720	1	1	0
MEX/AGU	1674720	1	1	0
NOR/46	5739784	1	1	0
URY/MO	7058728	2	2	0
UKR/63	465000	1	1	0
AWS/us-west-2	26998272	18	6	2
VEN/V	11463900	1	1	0
VNM/HN	21336588	3	3	0
JPN/47	6736848	1	1	0
UKR/07	6736848	1	1	0
KEN/30	3340908	1	1	0
PHL/11	6736848	1	1	0
BLR/HM	4317232	1	1	0
ISR/D	4317232	1	1	0
UKR	11901056	2	2	0
PAK/PB	6582168	2	2	0
IND/MH	3824176	2	2	0
UZB/TK	45883500	6	6	0
URY/MA	1441176	1	1	0
MYS/14	2555728	1	1	0
PRT/13	7425776	1	1	0
COL/DC	1318944	1	1	0
IRN/09	47447325	24	0	1
ECU/P	2928424	2	2	0
BGD/C	3451192	1	1	0
ETH/AA	1072840	1	1	0
IDN/YO	6681816	1	1	0
MEX/SON	11444904	1	1	0
QAT/DA	2751336	1	1	0
BRA/PA	3854672	1	1	0
BRA/BA	5424440	1	1	0
PHL/10	5424440	1	1	0
VNM/HP	5424440	1	1	0
BRA/DF	2292780	1	1	0
VEN/D	5424440	1	1	0
PRY/11	1113636	1	1	0
HKG	3537432	1	1	0
BRA/MG	5961228	1	1	0
BRA/RS	7009356	1	1	0
KGZ/GB	2030748	1	1	0
KAZ/71	3668448	1	1	0
URY	7598928	1	1	0
TUR/06	2358288	1	1	0
ARE/SH	4651068	1	1	0
NOR/50	7014912	16	0	2
USA/MI	745632	3	1	1
EST/37	438432	1	1	0
CHE/VD	876864	4	1	1
GCP/asia-south1	745632	3	1	1
THA	1315296	3	3	0
ECU/I	5240640	1	1	0
VEN/A	766112	1	1	0
