region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	53442886808	22197	108	161
USA/MD	18149476	15	4	3
AWS/us-east-2	3181987224	2907	0	22
NLD	1188708104	29	2	1
USA/MA	3020881606	57	0	7
VPN	1331774640	17	11	3
USA/NV	1188143541	29	2	1
CHN	585926072	112	0	1
AWS/us-east-1	653219168	76	6	1
IND/MH	1171852144	2	2	0
USA/VA	103376192	53	3	4
GBR/ENG	9960743224	17	17	0
VNM/HP	9025504	1	1	0
PRT/11	5273334648	9	9	0
USA/CA	612995680	22	9	5
USA/RI	27627816	6	0	1
JPN	6605052	4	1	1
JPN/13	14271928	8	2	1
GCP/us-central1	243069548	1	1	0
CAN/QC	18418544	4	0	2
IND/PB	194409876	1	1	0
NOR/50	174976168	38	0	2
CHE/AG	8168480	3	1	1
DEU/NW	585926072	1	1	0
VNM/SG	2929630360	5	5	0
USA	7897316	1	1	0
VNM/HN	585926072	1	1	0
GBR/NIR	37031112	1	1	0
FRA/IDF	324192196	16	5	4
MEX/CMX	2937140	9	3	3
CHE/VD	2267792	6	2	1
SGP	385450048	2	2	0
IND/CG	929096	1	1	0
VEN	3849112	1	1	0
BGD	929096	1	1	0
USA/IL	934804	3	1	1
