region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	45103665404	143018	6481	5829
AWS/us-east-2	457975581200	92569	921	143
VPN	92540592293	4957	727	138
CHN	46278996134	4040	2	70
USA/MD	900367144	1133	164	86
USA/NV	53905181510	2205	95	74
USA/GA	2876247724	580	1	56
AWS/ap-southeast-1	921927860	146	146	0
AWS/us-east-1	50198968857	7862	142	466
USA/VT	1893585824	5911	269	190
GitHub	26540421676	110741	1137	1186
USA	9266403636	1833	63	25
HKG/KKC	5897049016	711	0	14
NOR/50	606445100	137	0	8
USA/MA	166419068261	1473	273	96
USA/NY	802977644	1076	51	18
ITA/52	4150163376	842	0	50
NLD	46893702270	527	85	16
USA/PA	336731953	11	9	1
USA/CA	26979921036	238	80	11
HKG	2022676092	245	2	6
CAN/QC	18355598828	632	36	57
GCP/us-west4	7099583096	28	28	0
GCP/asia-east1	26372579632	56	56	0
ITA/45	245881468	50	0	5
USA/IL	1243533856	72	35	2
MEX/CMX	234803956	1126	100	54
BRA/SC	10618240	2	2	0
MAR/06	1393644	1	1	0
USA/DC	290587360	1030	67	45
SYC	6039124	3	3	0
UKR/26	1393644	1	1	0
KOR/47	584764056	4	4	0
PER/LMA	929096	1	1	0
USA/WA	322827848	4	4	0
ESP/CT	1270652	3	1	1
ITA/34	426221236	1	1	0
DEU/NW	30076276	63	5	3
IRQ/NI	995460	1	1	0
IND/DL	7167312	1	1	0
BRA/RJ	30859260	6	6	0
DEU/TH	79437708	13	13	0
UZB/TK	3251836	2	2	0
BRA/SP	24621044	8	8	0
FRA/PAC	389458728	3	3	0
BGD	9025504	3	3	0
UZB/AN	3981840	1	1	0
IDN/JB	1128188	1	1	0
PAK/PB	8627320	1	1	0
BGR/22	15728268	1	1	0
VNM/SG	709459224	14	14	0
GBR/ENG	4766437268	180	51	1
CIV/AB	1061824	1	1	0
TUR/41	1128188	1	1	0
ESP/MD	3318200	2	2	0
CHE/ZH	5309120	1	1	0
KOR/46	862732	1	1	0
ESP/VC	1327280	1	1	0
COD/KN	1128188	1	1	0
SAU	1061824	1	1	0
RUS/SAM	1128188	1	1	0
PAK/IS	1990920	2	2	0
CHL/RM	584969984	6	6	0
CHE/AG	9402988	14	2	2
SGP	380405404	6	6	0
TZA/02	1128188	1	1	0
RWA	1061824	1	1	0
FRA/PDL	1393644	1	1	0
NPL/P3	929096	1	1	0
IND/UP	995460	1	1	0
JOR/AM	7499132	1	1	0
ISR/TA	24621044	2	2	0
IRQ/AR	2190012	2	2	0
ZAF/GP	12808252	4	4	0
TUR/06	12078248	1	1	0
CHE/VD	12721532	51	8	7
ZAF/FS	1858192	1	1	0
POL/14	54690856	3	1	1
VEN/I	4645480	1	1	0
BRA/PR	5574576	1	1	0
VNM/HN	130487240	9	9	0
IRQ/BG	2521832	2	2	0
ESP/CL	14732808	1	1	0
USA/VA	1803573492	492	17	7
BRA/RN	2256376	1	1	0
USA/TX	50768460	1	1	0
BRA/MG	21236480	3	3	0
PAK/KP	1061824	1	1	0
CHL/VS	16391908	2	2	0
ARG/B	5574576	2	2	0
VEN/K	929096	1	1	0
PRT/11	1445350048	14	14	0
USA/FL	19112952	3	2	1
CAN/ON	561211205	4	4	0
GCP/us-central1	917279127	10	10	0
NOR/03	94186132	1	1	0
ITA	51830284	2	2	0
ITA/62	94186132	1	1	0
AUS/WA	49308452	1	1	0
EST/37	94186132	1	1	0
BRA/ES	7565496	1	1	0
KEN/30	3716384	1	1	0
RUS	2654560	1	1	0
UKR/21	6437308	1	1	0
VNM/34	10286420	1	1	0
LBN/BA	1659100	1	1	0
IND/MH	500373648	4	4	0
USA/RI	116655284	25	0	1
JPN/13	18692408	48	2	1
IND/RJ	237919652	2	2	0
MEX/TAM	2455468	1	1	0
COL/ANT	1128188	1	1	0
UGA/C	929096	1	1	0
CHL/CO	1393644	1	1	0
ARE/DU	1061824	1	1	0
FRA/IDF	9076876	22	4	3
IND/GJ	2057284	2	2	0
IND/OD	862732	1	1	0
ESP/AN	1393644	1	1	0
BRA/BA	1128188	1	1	0
COL/CAU	7565496	2	2	0
NLD/NH	40083856	1	1	0
PAK/SD	1659100	1	1	0
THA/10	929096	1	1	0
USA/SC	1061824	1	1	0
IND/PB	1128188	1	1	0
AUS/NSW	1061824	1	1	0
URY/MO	1327280	1	1	0
MEX/JAL	1725464	1	1	0
VNM	1061824	1	1	0
ZAF/EC	929096	1	1	0
BRA/PB	4048204	1	1	0
CHL/LR	1393644	1	1	0
CHN/SH	61717582	5	5	0
USA/SD	1128188	1	1	0
SEN/DK	862732	1	1	0
PRY/10	1061824	1	1	0
BRA/RS	1393644	1	1	0
ITA/21	1327280	1	1	0
VEN/B	1327280	1	1	0
PAK	1194552	1	1	0
TUR/79	796368	1	1	0
TWN/TPE	713580916	1	1	0
IND	1128188	1	1	0
SAU/01	2190012	2	2	0
PHL/03	1061824	1	1	0
DZA/16	1260916	1	1	0
NLD/ZH	6090420	8	1	1
IDN/SN	995460	1	1	0
VNM/DN	862732	1	1	0
UKR/32	9888236	1	1	0
IND/TN	862732	1	1	0
VNM/20	1924556	2	2	0
VEN/A	1260916	1	1	0
IND/HR	1128188	1	1	0
SAU/02	2389104	1	1	0
BRA/PI	1128188	1	1	0
UKR/23	1	1	0	1
