region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	34436967263	2890	2697	59
GH-actions	45864828564	65903	3289	2389
AWS/us-east-1	54527294960	6308	1235	1350
USA/NV	26458771147	1406	384	46
NLD	18588687988	511	291	12
AWS/us-east-2	1466683528	158858	58	367
USA/NJ	8414049185	2215	1743	118
ITA/45	10512464144	2667	3	272
USA/NY	64992720621	1342	1073	20
CAN/QC	8112823864	624	65	229
USA/VT	1234901380	2744	355	175
CHN	24466991870	2136	435	44
USA/GA	13155524300	333	178	141
GCP/us-east4	12927199992	178	178	0
USA/CA	15194153346	7955	1714	691
AWS/us-west-2	772674684	4416	490	352
HKG/KKC	708869556	101	19	3
GCP/us-central1	853301136	44	44	0
CAN/ON	13142820240	320	320	0
ESP/CT	432048112	1457	349	153
USA/NM	12919706852	173	173	0
KOR/27	15757687092	6041	546	104
HKG	5986840536	89	37	1
AWS/ap-southeast-1	1170180428	503	503	0
USA	6199185132	1329	257	16
USA/MA	57660868848	1471	831	269
USA/WA	19498322344	221	207	6
USA/MD	96771392	210	50	29
IRN	12919706852	173	173	0
DEU/HE	14738690048	201	201	0
GBR/ENG	3186184068	230	230	0
GCP/europe-west1	25839413704	346	346	0
SGP	20491505228	364	348	5
COL/ANT	187563096	133	133	0
GCP/europe-west4	815441828	2430	390	388
GCP/us-west1	488174724	1022	375	218
USA/FL	593084648	2016	271	189
GCP/asia-east1	584525368	1883	346	346
GCP/us-east1	143509096	419	70	60
CHN/BJ	189418700	613	173	173
ESP/MD	28613064	114	23	20
TWN/NWT	224150288	631	173	173
FRA/IDF	52724244	104	32	14
JPN/26	220590100	138	138	0
TWN/TAO	2316192768	3561	608	361
THA/90	398677436	849	232	173
CAN/BC	24565508	65	16	16
CHN/SH	435384368	373	141	18
SWE/W	12932168416	177	175	2
USA/VA	136854764	446	39	7
USA/IL	802077880	113	103	2
ARG/C	2108420	2	2	0
BRA/SP	132481840	17	17	0
VNM/HN	64400884	29	29	0
BGD	50971832	19	19	0
VNM/SG	120915516	35	35	0
NOR/50	43845060	28	0	9
MYS/14	2123648	2	2	0
MYS/10	1128188	1	1	0
KEN	1493640	2	2	0
GCP/asia-southeast1	5994512	4	4	0
IRQ/SU	1571740	2	2	0
USA/TX	5850684	6	6	0
PAK/SD	27919840	6	6	0
VNM	3099324	2	2	0
MEX/CMX	117543536	377	92	62
BRA/RJ	37362932	8	8	0
ARE/FU	1061824	1	1	0
EGY/C	1061824	1	1	0
ZAF/GP	16204536	9	9	0
COD/KN	530076	1	1	0
BEL/BRU	530076	1	1	0
MEX/MIC	3556468	4	4	0
ARG/B	9766012	8	8	0
DEU/NW	20215912	4	4	0
VNM/37	2280004	3	3	0
ARG/R	5508212	1	1	0
RUS/KYA	1659100	1	1	0
ECU/G	15860996	5	5	0
IRQ/BG	10950060	7	7	0
DEU/BW	261502972	3	3	0
NOR	4026268	3	3	0
CHE/VD	17970228	41	12	5
SWE/AB	4557468	2	0	2
VNM/24	2708556	1	1	0
PAK/PB	15171976	12	12	0
PHL/00	4086856	3	3	0
ECU/P	4069540	4	4	0
PRT/11	22986606	814	24	5
CZE/31	1061824	1	1	0
VNM/63	1194552	1	1	0
AZE/BA	2571452	2	2	0
KGZ/GB	1143360	1	1	0
MEX/MEX	2380620	3	3	0
MEX/PUE	1128188	1	1	0
IND/PB	8947864	14	14	0
IRQ/BA	929096	1	1	0
DNK/82	1187444	1	1	0
TUR/34	9797296	5	5	0
VEN	1024276	2	2	0
JOR/AM	15539504	5	5	0
VNM/HP	13645376	5	5	0
USA/PA	7342364	9	3	1
USA/MN	2878172	1	1	0
DZA/05	861964	1	1	0
VEN/N	861964	1	1	0
SYC	3479068	4	4	0
AUS/NSW	10707404	2	2	0
RUS/SPE	4336460	1	1	0
BRA/BA	6151392	4	4	0
SAU/02	5574576	3	3	0
SAU/04	1061824	1	1	0
ARG/A	5906396	2	2	0
BOL/L	1834220	2	2	0
ISR/TA	5824524	2	2	0
SAU/03	846408	1	1	0
ETH/AA	5698452	4	4	0
PAK/IS	3123116	2	2	0
BRA/DF	5642760	4	4	0
CHE/ZH	8754264	15	5	2
AWS/ap-southeast-2	3571512	2	2	0
IRQ/BB	1128188	1	1	0
MEX/NLE	6119024	3	3	0
USA/IA	2290220	2	2	0
COL/NSA	1468000	1	1	0
BRA/ES	1659100	1	1	0
CAN/SK	2122016	2	2	0
TUN/11	1128188	1	1	0
ITA/52	665816320	181	4	2
VNM/52	6968220	1	1	0
IRQ/MA	2654560	1	1	0
UKR/46	7034584	2	2	0
SRB/00	22431032	1	1	0
VEN/V	10750968	1	1	0
VEN/G	3185472	1	1	0
UKR/63	1128188	1	1	0
IRQ/NA	1061824	1	1	0
TUR/79	1061825	2	1	1
DEU/SH	13604620	1	1	0
ALB	12808252	1	1	0
UKR/30	1194552	1	1	0
COL/DC	13949068	6	6	0
ESP/VC	623372	1	1	0
RUS/VGG	623372	1	1	0
MEX/BCS	1917080	1	1	0
BRA/SC	6304580	4	4	0
IDN/JK	929096	1	1	0
VNM/DN	15568564	6	6	0
HRV/05	1015244	1	1	0
BEL/VLG	968560	1	1	0
IDN	929096	1	1	0
USA/CT	968560	1	1	0
SAU/01	10089176	4	4	0
BRA/RS	6908616	6	6	0
COL	1061824	1	1	0
COL/SAN	751436	1	1	0
MAR/07	751436	1	1	0
BRA/AM	751436	1	1	0
IDN/JB	1061824	1	1	0
