region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	15946398520	19879	3249	2496
USA/NY	916980400	72	56	2
GitHub	706784348	1166	183	183
USA/MD	545795900	526	104	62
USA/VT	1178830404	1396	228	57
USA	829360728	72	52	6
VPN	3123623258	420	259	36
AWS/ap-southeast-1	159443280	36	36	0
CHN	689984784	117	2	26
AWS/us-east-1	520778672	71	4	26
USA/MA	1475844460	273	0	58
MEX/CMX	116481460	335	67	47
IND/MH	1310160	1	1	0
COL/VAC	9695184	1	1	0
GCP/us-west2	506830592	28	28	0
AWS/us-east-2	65163248	4	4	0
USA/MI	455615424	26	26	0
USA/PA	75598572	71	13	10
USA/CA	24527424	13	4	3
CHN/SH	26374208	2	2	0
VNM	19624372	2	2	0
PAK/PB	19193844	2	2	0
GAB/1	5961228	2	2	0
GCP/us-central1	115934664	5	5	0
USA/DC	60141432	53	30	5
JOR/AM	12577536	2	2	0
KEN/30	10022724	1	1	0
USA/IL	26108472	11	3	2
NGA/LA	7598928	1	1	0
GCP/asia-south1	3408488	11	2	2
FRA/IDF	9319388	15	3	3
VNM/HN	39290272	3	3	0
IDN/JT	3995988	1	1	0
IDN/JB	1113636	1	1	0
VNM/SG	24893040	3	3	0
VNM/CT	13301512	1	1	0
UZB/TK	5240640	1	1	0
FRA/ARA	13301512	1	1	0
IDN/YO	6878340	1	1	0
TUN/11	1703208	1	1	0
IND/NL	4389036	1	1	0
IRQ/AR	9891708	1	1	0
ECU/M	4323528	1	1	0
ARE/DU	1113636	1	1	0
MEX/MEX	7926468	1	1	0
PAK	4323528	1	1	0
IRQ/BG	11398392	1	1	0
PAK/SD	1113636	1	1	0
USA/WA	2596192	8	2	2
AWS/us-west-2	19548016	36	6	2
TUR/26	6878340	1	1	0
PAK/KP	917112	1	1	0
BRA/PE	2030748	1	1	0
EST/37	12938968	1	1	0
CHE/VD	1867004	6	1	1
BRA/PR	3668448	1	1	0
MYS/14	7074864	1	1	0
IDN/BA	4847592	1	1	0
USA/NJ	13052560	1	1	0
