week_start	sub-20190924-01/sub-20190924-01_ses-20190924_ophys.nwb	sub-20190924-02/sub-20190924-02_ses-20190924_ophys.nwb	sub-20190924-03/sub-20190924-03_ses-20190924_ophys.nwb	sub-20190925-01/sub-20190925-01_ses-20190925_ophys.nwb	sub-20190925-04/sub-20190925-04_ses-20190925_ophys.nwb	sub-20190928-01/sub-20190928-01_ses-20190928_ophys.nwb	sub-20190928-03/sub-20190928-03_ses-20190928_ophys.nwb	sub-20190928-05/sub-20190928-05_ses-20190928_ophys.nwb	sub-20190928-07/sub-20190928-07_ses-20190928_ophys.nwb	sub-20190928-08/sub-20190928-08_ses-20190928_ophys.nwb	sub-20190928-11/sub-20190928-11_ses-20190928_ophys.nwb	sub-20190928-13/sub-20190928-13_ses-20190928_ophys.nwb	sub-20190929-02/sub-20190929-02_ses-20190929_ophys.nwb	sub-20190929-03/sub-20190929-03_ses-20190929_ophys.nwb	sub-20190929-05/sub-20190929-05_ses-20190929_ophys.nwb	sub-20190929-06/sub-20190929-06_ses-20190929_ophys.nwb	sub-20190929-07/sub-20190929-07_ses-20190929_ophys.nwb	sub-20191030-03/sub-20191030-03_ses-20191030_ophys.nwb	sub-20191030-07/sub-20191030-07_ses-20191030_ophys.nwb	sub-20191104-08/sub-20191104-08_ses-20191104_ophys.nwb	sub-20191104-10/sub-20191104-10_ses-20191104_ophys.nwb
2024-04-29	637367372	612471956	622589648	614165556	608019540	768822676	862242824	881215160	898888920	765195536	773153228	961314176	1035397620	859811204	874245872	12053472	0	2423796	56484676	5109624	721420288
2024-05-06	3526344516	1477931564	57308552	33797772	1511035132	270817512	1499695244	96758176	192348444	149090280	2961633492	6747324	78762748	0	64432612	3031759872	1677355628	1496747916	75451440	20247336	1613605792
2024-05-13	61179784	222948444	3099877736	1634213912	1668389756	2937163420	1647449828	1490065716	2932360472	2959344676	1475418228	1462531184	2975151884	1488217664	1590735644	2951558548	2911616572	1476038540	1469824100	2959566284	1520570676
2024-05-20	100601120	161116960	1457285344	1457089588	1453958228	2910237048	0	1455114500	1520518136	1454247196	75859564	1455259796	1454828020	339971832	1455020516	0	1459191200	1455740870	1454102180	1455454612	0
2024-05-27	99501383	46514235	391649217	194701864	50261374	77823918	55359070	27317166	56784300	190796215	51344582	159367388	363374950	10435972	0	86334180	0	0	0	275784592	0
2024-06-03	10350264	0	0	0	0	18080208	239485488	0	0	60188916	113682184	0	0	0	292768312	0	104699716	0	158428744	0	117831648
2024-06-10	148059332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150516240	0
2024-06-17	1455547324	1455401700	2914570688	1457089588	4361874684	1455118524	2909850840	1455114500	0	2908494392	1456944972	1455259796	1454828020	1455402372	1455020516	1455403628	1420403684	1455740870	2908204360	1455454612	0
2024-06-24	0	0	0	0	0	23320848	0	0	0	0	0	0	0	19652400	0	0	0	0	22403736	0	0
2024-07-01	6419784	0	0	0	0	0	0	0	101893612	0	0	0	0	0	0	0	0	0	0	0	0
