region	bytes_sent
US/California	645957915145
AWS/us-east-2	361836356052
CN/Shanghai	292363748510
US/Connecticut	237902745859
US/Wisconsin	209296164364
US/Indiana	184302067368
GB/Scotland	163207460424
KR/Seoul	111351089725
US/Massachusetts	101249224608
HK/Hong Kong	95913042725
US/New York	88981913516
US/Virginia	87787247736
FR/Auvergne-Rhône-Alpes	77830043252
BE/Flanders	74921332444
AWS/us-east-1	74457101069
US/Ohio	74351014076
FR/Île-de-France	74351014076
CL/Santiago Metropolitan	74351014076
DE/Berlin	74351014076
NL/North Holland	74351014076
GB/England	73580356060
BE/Wallonia	72005943368
SE/Stockholm	70458924578
CH/Zurich	68854786376
US/Florida	59375314989
GCP/us-west1	58200149058
DE/Bavaria	57998245443
JP/Tokyo	55544044368
US/Maryland	42980585064
FR/Provence-Alpes-Côte d'Azur	42955768825
SA/Mecca Region	36001095696
DE/North Rhine-Westphalia	31632513464
IN/Karnataka	29578958197
ES/Catalonia	29530187056
BR/Minas Gerais	29530187056
IT/Piedmont	29530187056
IT/Campania	29530187056
VPN	24223034869
US/New Jersey	22662467296
US/Washington	20973275352
FR/Hauts-de-France	18658986314
US/Minnesota	15409643092
US/Michigan	15229223560
CN/Beijing	13979651242
US/Missouri	13777916412
IL/Jerusalem	13736291093
ES/Castille and León	13433304364
CA/Ontario	13411878072
US/Oregon	12667819708
HK/Tai Po	7586067322
PT/Braga	6544288433
US/Alabama	6470908640
IQ/Duhok	5107606417
DE/Lower Saxony	2328015549
GitHub	2116067308
SG/Singapore	1459323662
US/Vermont	587041158
PT/Lisbon	311316480
BR/Santa Catarina	173505216
IT/Apulia	166089030
US/Texas	143707780
FR/Brittany	133676564
IT/Lombardy	76022568
CA/Quebec	64446380
CH/Vaud	62249432
GCP/us-central1	40813796
IN/Maharashtra	35197620
US/Rhode Island	29081256
US/Georgia	28956068
PK/Sindh	25383761
VN/Ho Chi Minh	21426292
VN/Kiên Giang Province	21426292
CL/Valparaíso	21136465
SE/Västra Götaland	16557349
IE/Leinster	13272800
IN/Punjab	11732540
IL/Tel Aviv	9693752
US/Pennsylvania	9693752
AWS/ap-southeast-1	7830952
