week_start	sub-MEAREC-250neuron-Neuropixels/sub-MEAREC-250neuron-Neuropixels_ecephys.nwb	sub-P29-16-05-14-retina02-left/sub-P29-16-05-14-retina02-left_ecephys.nwb	sub-c1/sub-c1_ecephys.nwb	sub-mouse412804/sub-mouse412804_ses-20200824T155542.nwb	sub-mouse412804/sub-mouse412804_ses-20200824T155543.nwb
2021-04-19	20554376496	3674210304	16821607296	1305144	3343932
2021-05-03	0	6470908640	40435251702	27582989	11732540
2021-05-10	29530187056	0	0	0	0
2021-05-31	0	0	0	9693752	0
2021-06-07	5107606417	0	0	0	0
2021-06-14	687812368	0	0	9693752	11732540
2021-06-28	80432230	0	0	0	0
2021-08-09	0	0	3059319096	0	0
2021-09-06	50328794265	13012045252	19130058646	9693752	35197620
2021-09-20	0	0	0	19387504	11732540
2021-10-04	1526101644	0	0	0	0
2021-10-25	25643781533	12941817280	24916614016	19387504	11732540
2021-11-01	0	0	0	9693752	0
2021-11-08	0	3251836	0	0	0
2021-12-27	29530187056	0	24951256024	9693752	23465080
2022-01-31	29530187056	0	0	0	0
2022-02-14	0	0	0	9755872	0
2022-02-21	29530187056	6470908640	0	0	0
2022-03-14	26943784	0	26943784	29081256	11732540
2022-03-21	0	0	0	9693752	11732540
2022-03-28	679220754	43932968	43468420	19387504	11732540
2022-04-04	29908933402	19412725920	39612709430	19387504	46930160
2022-04-11	254464	15361456	21418336	9821408	348888
2022-04-25	0	14030921901	0	130040	0
2022-05-02	29530187056	0	24851895662	9693752	11732540
2022-05-16	59060374112	6470908640	24916614016	130040	11732540
2022-05-30	29613970199	0	0	0	0
2022-06-20	0	6470908640	0	0	0
2022-06-27	61042649308	12942218448	242616	9893384	23420456
2022-07-04	8539736	399840	208216	38708064	35180592
2022-07-11	22502577828	5145122772	17081244011	0	11732540
2022-08-01	0	0	21695388544	184181288	234650800
2022-08-08	12884901888	5397166816	0	145406280	211185720
2022-08-15	10053677	0	0	87243768	93860320
2022-08-22	10632330954	6470908640	11050522626	19387504	35197620
2022-08-29	21136465	0	0	0	82127780
2022-09-05	59060374112	0	49833228032	19387504	93860320
2022-10-24	0	0	24934299553	0	0
2022-10-31	29530187056	0	0	9693752	11732540
2022-11-14	0	9954600	0	6403657	0
2022-11-28	59263052	0	0	0	0
2022-12-12	78643200	71207882	0	0	56652017
2022-12-19	29591932693	6285668430	862180316	9693752	11732540
2023-01-02	160737080	193153247	122510548	0	102102406
2023-01-09	29530187056	0	0	0	0
2023-01-30	29545251684	0	0	0	0
2023-02-06	57026522980	89128960	136314880	0	17917397
2023-02-13	0	216152800	24916614016	0	0
2023-02-20	40298675102	3868881298	0	0	0
2023-03-27	12772656	6437600	15992264	9823792	390120
2023-04-03	12874616	14401280	24959451509	0	13072825
2023-04-10	658032785	1712794505	582562057	9693752	71060080
2023-04-17	314940877	0	9854585	0	76116694
