region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	115947837696	15047	1365	78
USA/MD	74118629088	56	56	0
USA/MA	4629543890260	1889528	80023	387
AWS/ap-southeast-1	716112147	323	323	0
AWS/us-east-2	870191892	53	53	0
USA	4161145595646	26046	26046	0
EGY	24750674228	27537	653	7
USA/IN	60435490394	2850	2850	0
USA/CA	116670180994	17446	11089	55
CHN/BJ	119477717732	2001	79	17
EGY/SHR	27419637539	238747	716	17
AWS/us-west-2	24384652627	67	22	1
CHE	5663909206	158	158	0
DEU/NW	1190557246	3251	171	3
VPN	73343438381	83561	2892	18
USA/TX	113906195054	112485	5057	76
CAN/ON	15386397728	6759	1165	5
ITA/45	763796746	85	85	0
ROU/B	902210652	52	52	0
USA/PA	3626882006	1736	238	1
CHE/VD	1604540736	76	76	0
USA/NH	1615348143	106	101	1
DEU/BW	1788872620	3585	67	1
USA/NY	44868660219	45152	1474	3
GBR/ENG	36729251065	79382	1266	33
NOR/50	494029717	75	75	0
NOR	357703121	43	43	0
GH-actions	3420275641	1395	1395	0
DEU/SN	2505032447	3284	158	2
SEN/DK	581672706	49	49	0
CAN/QC	5166063661	1681	59	1
AWS/ap-northeast-1	1072562203	59	59	0
USA/GA	3699797298	1292	302	4
USA/OH	32038560	40	40	0
ARG/C	1069101691	153	153	0
ARG/B	1102670611	139	139	0
ARG	517793796	87	87	0
JPN/26	1083177870	75	69	1
FRA/IDF	3669591261	6901	362	6
USA/NV	372825428	44	44	0
FRA/NAQ	9971337044	15136	278	9
AUS/NSW	6072699804	5026	254	1
DEU	7463364967	8747	303	2
MAR/07	259963260	41	41	0
FRA	2223353543	2478	177	13
USA/NJ	536955902	48	48	0
USA/DC	4863721793	2279	390	2
JPN/13	826382594	56	56	0
AWS/cn-north-1	252213076	48	48	0
FIN/11	562389337	57	56	1
BRA/SP	2001332614	705	195	5
USA/IA	855872441	56	56	0
ISR/TA	741955094	75	75	0
USA/WA	52407416337	41023	629	12
JPN/23	10711594125	25240	93	3
ITA/88	218175071640	435612	3092	25
DEU/BE	2988612331	4324	133	1
ESP/VC	1557898496	3846	166	3
FRA/ARA	12930746585	44530	189	8
PRT/13	1785659305	159	77	1
CHE/ZH	7290135644	9166	549	2
FRA/OCC	13246319418	22999	263	4
IND/AP	2387526141	3330	104	1
IND/TN	2188425446	4735	172	2
USA/MO	15925696989	38785	87	1
ITA/62	20224725419	61064	357	5
CHN	294588136	22	22	0
ESP/CL	1254314232	3341	76	1
CZE/10	5752056348	6852	117	1
ESP/AN	177457552	7	7	0
IND/MH	97227948	3	3	0
ITA/72	120697971	33	3	3
USA/VT	291684892	23	23	0
CHN/HB	128443492	8	8	0
CHE/BS	169440129	5	5	0
USA/NC	1260140869	25	17	4
TUR/06	64229612	7	7	0
USA/IL	298784894	12	12	0
USA/SC	1312801715	20	20	0
GCP/us-east4	97227948	3	3	0
USA/VA	844758046	30	30	0
ITA/25	12229571181	35348	13	3
GCP/europe-central2	97227948	3	3	0
TUR/34	109005312	5	5	0
SGP	198471420	5	5	0
GCP/us-central1	39382625674	26	26	0
FRA/PAC	97228429	6	6	0
TWN/TAO	473966676	14	14	0
NLD/NH	152523526	7	7	0
USA/HI	253994847	7	7	0
NLD/GE	258693998	7	7	0
IND/KA	258693998	7	7	0
IRN	375822302	9	9	0
NLD/UT	248006949	18	7	6
AUS/VIC	288812887	8	8	0
JPN	222768397	812	17	2
USA/OR	801	3	3	0
IND	26	2	2	0
IDN	13	1	1	0
VNM/43	13	1	1	0
VNM/SG	26	2	2	0
BRA/RS	36042529	12	6	1
VNM/56	13	1	1	0
VNM/37	13	1	1	0
USA/TN	26	2	2	0
USA/MN	26	2	2	0
ESP/MD	394	1	1	0
USA/NM	394	1	1	0
VNM/49	394	1	1	0
CHL/CO	394	1	1	0
KEN/30	825	3	3	0
USA/CO	236090	2	2	0
GCP/us-east5	1677	1	1	0
ESP/CT	3457929300	4790	3	2
NLD/LI	2874180060	9221	15	2
JPN/08	309756732	1301	0	1
ITA	18970138697	49832	1	1
TWN/NWT	7271388	1	1	0
FRA/GES	172671074	2991	8	1
