region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
HKG/KKC	2256036681	271	0	5
VPN	13020968001	325	235	13
USA	4987539367	950	17	11
AWS/us-east-1	12571612422	1573	149	56
CAN/QC	5901071588	111	18	14
AWS/ap-southeast-1	481156260	80	80	0
USA/MA	32396960121	4509	0	68
USA/IL	462590118	36	18	2
CHN	19218521828	1235	0	31
AWS/us-east-2	2572068539	5381	8	17
VNM/69	917112	1	1	0
JPN	749446936	6	6	0
GitHub	15805701067	77501	271	388
USA/NY	1864417964	803	58	16
GCP/us-central1	16869442634	35	35	0
USA/UT	1002831996	4	4	0
BGD	1965240	2	2	0
NOR/50	536018057	115	0	8
ITA	101628337	130	14	14
USA/MD	1003550326	103	21	15
CAN/ON	5324803662	14	14	0
USA/VA	6937346178	354	21	3
USA/CA	5369340762	40	19	4
MEX/CMX	1413588493	696	68	48
TWN/NWT	2030748	1	1	0
TUR/55	1113636	1	1	0
USA/NJ	323425992	2	2	0
VNM/SG	18342240	3	3	0
CHN/GD	5324803662	14	14	0
USA/DC	37280796	34	3	1
USA/IN	238569792	558	6	1
BGD/C	18276732	1	1	0
USA/PA	108048471	780	8	2
AWS/us-west-2	20942846	42	6	2
USA/WA	2465176	8	2	2
ISR/JM	1179144	1	1	0
NPL	982620	1	1	0
SRB/00	1179144	1	1	0
MAR/05	1375668	1	1	0
CHN/BJ	16611810	57	10	10
VNM/HP	851604	1	1	0
IRQ/NI	851604	1	1	0
USA/VT	386855924	627	66	12
COL/HUI	2882352	1	1	0
NLD	2298694573	104	7	7
CHN/SH	1008652837	107	2	4
JOR/AM	35701860	1	1	0
VNM/57	5633688	1	1	0
DEU/NW	17556144	1	1	0
BRA/RS	1113636	1	1	0
BRA/PB	2227272	1	1	0
SAU/01	1048128	1	1	0
CHL/LI	1113636	1	1	0
UKR/51	13167108	1	1	0
BRA/SP	5830212	3	3	0
ARG/B	2751336	2	2	0
GBR/ENG	6363637044	27	27	0
VNM/HN	18604272	5	5	0
VNM/37	917112	1	1	0
ARG/S	1375668	1	1	0
ISR/M	1244652	1	1	0
VNM/56	851604	1	1	0
CHE	908172936	1	1	0
IND/PY	1113636	1	1	0
IND/MH	489464896	2	2	0
MYS/14	1899732	2	2	0
IND/GJ	1375668	1	1	0
HKG	1048128	1	1	0
PRT/11	1048128	1	1	0
URY/MA	2292780	1	1	0
USA/GA	47770178	9	3	2
KHM/12	1441176	1	1	0
JOR	3078876	1	1	0
MYS/07	1703208	1	1	0
OMN/MA	12184488	1	1	0
ESP/AN	1310160	1	1	0
SAU/14	1375668	1	1	0
SEN/DK	1375668	1	1	0
MAR/06	1113636	1	1	0
COL/CAS	2030748	1	1	0
PRT/13	5699196	1	1	0
PNG/NCD	1179144	1	1	0
IDN/JK	1375668	1	1	0
ARE	1048128	1	1	0
IND/HR	2227272	2	2	0
BRA/BA	2292780	1	1	0
RUS/MOW	9629676	2	2	0
VNM/21	1048128	1	1	0
TUR/07	1113636	1	1	0
USA/NH	1727474742	2907	306	208
EST/37	226756904	1	1	0
CHE/VD	5661840	19	3	2
EGY/GZ	1179144	1	1	0
SGP	227805032	2	2	0
IND/KA	917112	1	1	0
ROU	20372988	1	1	0
MAR/07	1375668	1	1	0
USA/AL	417172903	1	1	0
SYC	1899732	1	1	0
ZAF/KZN	1113636	1	1	0
ARE/DU	2030748	2	2	0
JPN/13	9399284	10	1	1
USA/RI	62140968	13	0	1
FRA/IDF	13807036	20	4	3
BRA/PA	2096256	1	1	0
