week_start	Neurophysiology	Video
2026-01-19	7615713986	17057904934
2026-01-26	78238845182	197756149314
2026-02-02	18695211115	48431534054
2026-02-09	46579682403	100735383584
2026-02-16	96388350546	272791676356
2026-02-23	2083005937	4889155784
2026-03-02	629704642	196608
2026-03-09	206755072	7654891544
2026-03-16	1797447632	7850205140
2026-03-23	172667650	0
2026-03-30	8319516	0
2026-04-06	4207072406	0
2026-04-13	3594727658	0
2026-04-20	2217346812	1755941940
2026-04-27	17992	0
2026-05-04	8672	0
2026-05-11	3742607283	15450645854
2026-05-18	3493284290	1000279478
2026-05-25	298890506	0
2026-06-01	645382915	12708552
2026-06-08	562098766	163966524
2026-06-15	1031816549	53258004
2026-06-22	1387369823	1150417318
2026-06-29	9195480788	4235070594
2026-07-06	6749419670	165800748
2026-07-13	189188715	0
2026-07-20	31684817	0
