week_start	Neurophysiology	Video
2025-06-30	17179651207	520620120720
2025-07-14	3322782463	0
2025-07-21	382197561	12891766556
2025-07-28	2888579037	288126725044
2025-08-04	3727104200	88977787612
2025-08-11	1980861719	49614804202
2025-08-18	1083434581	78470873766
2025-08-25	1012606133	65516530696
2025-09-01	13430731417	113412952812
2025-09-08	2284710406	82000727060
2025-09-22	31451829	0
2025-10-06	840324222	0
2025-10-13	303623623	0
2025-10-20	303492607	6747324
2025-10-27	301461859	0
2025-11-03	4236318962	0
2025-11-10	3333340213	0
2025-11-17	2109217679	0
2025-11-24	2106302533	0
2025-12-01	2126282473	0
2025-12-08	1516700194	0
2025-12-15	15327463415	269333249182
2025-12-22	121317313	342320474848
2025-12-29	696406928	14950589622
2026-01-05	3542086474	77190089654
2026-01-12	8299050964	178306607838
2026-01-19	3424535953	75809322014
2026-01-26	6459048594	192735452186
2026-02-02	3860889055	96210981494
2026-02-09	1207649131	0
2026-02-16	798628642	557056
2026-02-23	1510882685	14402328466
2026-03-02	180267315	196608
2026-03-09	15712378	13479552126
2026-03-16	2337158323	11576418986
2026-03-23	549043622	66490620
2026-03-30	15875366	65704524
2026-04-06	299049409	105926436
2026-04-13	17595961	77233932
2026-04-20	1305059498	481025244
2026-04-27	6439012	229278000
2026-05-11	796546887	9204546218
2026-05-18	853630685	170255292
2026-05-25	893808121	20635020
2026-06-01	2076115740722	8122992
2026-06-08	433749425	2161764
2026-06-15	686304793368	3078876
2026-06-22	1133494699435	34457208
2026-06-29	29553344864	194157548
2026-07-06	4562355592	30199188
2026-07-13	1287877630	0
