region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	2596999913456	310167	725	105
VPN	550763349671	6522	1217	253
GitHub	13394979818	11032	739	734
MEX/CMX	25161725530	3456	223	252
USA/MA	2638555263434	51308	0	274
USA/WA	659904081	674	0	33
AWS/ap-southeast-1	772120537	319	319	0
FRA/IDF	72031618	308	25	13
HUN/SO	73400320	35	0	35
USA	186369447773	35655	216	22
CHN	560877936340	66490	316	73
USA/NH	32110806109	90072	13608	11970
USA/VT	639288647	1730	257	257
AWS/us-east-2	1101091143	17	17	0
ITA/52	13178501274	6065	415	126
FRA/ARA	11651447436	65	38	1
SWE/AB	11443258323	36	36	0
USA/NY	224827944	341	40	37
JPN/26	8524079337	200	54	24
CAN/BC	10683964952	3781	229	35
GCP/asia-south1	17179527855	1831	9	6
USA/CA	156241828	90	7	7
USA/IL	2561164	17	2	2
KOR/11	8346908	15	2	2
GBR/SCT	67182870	28	2	2
ITA/62	100902866	21	2	1
GCP/us-central1	268707673	6	6	0
ITA/45	753741	1	1	0
ESP/CT	2749597	12	2	1
CHE/ZH	31798980	98	2	3
CHN/GD	4915200	45	0	1
USA/VA	188087916	157	10	2
USA/UT	43427472	23	2	1
CHE/VD	51941696	152	1	3
EST/37	116244536	1	1	0
