week_start	sub-cell1/sub-cell1_image.nwb	sub-cell2/sub-cell2_image.nwb	sub-cell3/sub-cell3_image.nwb	sub-cell4/sub-cell4_image.nwb	sub-cell5/sub-cell5_image.nwb
2024-05-06	211375269	302162984	329891807	264894440	365640752
2024-05-13	0	49975293	0	0	246302764
2024-05-20	0	0	0	0	175504512
2024-05-27	0	0	0	0	383252552
2024-06-03	0	0	0	0	264037792
2024-06-10	519664285	0	0	0	256171388
2024-07-08	3894509	3845128	515879	3807681	508380
2024-07-22	12643044	0	614846031	0	13822188
2024-08-05	0	0	0	610934585	0
2024-08-26	0	9679260	0	0	0
2024-09-09	0	360850628	0	422190905	538004548
2024-09-16	4942637	4651068	7590743	0	4651068
2024-10-28	10088232	0	7664436	7860960	8385024
2024-11-04	291966334	0	0	0	0
2024-12-02	0	0	378265383	0	0
2025-01-13	0	0	38977260	0	0
2025-01-20	0	0	17097588	0	0
2025-07-28	0	277066140	0	243932985	435536348
2025-08-04	0	0	447471399	0	0
2025-08-11	362377885	0	0	0	0
2025-08-25	152662685	0	0	0	0
2025-09-08	0	381923740	0	0	0
2025-10-06	0	14588440	0	0	0
2025-12-15	0	502896308	1216918002	623774153	556050360
2025-12-22	0	0	410771239	0	0
2026-01-12	1028842810	0	0	0	0
2026-01-19	0	0	1814273397	398458880	372621788
2026-01-26	335544320	283115520	0	0	0
2026-02-16	4733128	4323528	290389799	7746496	8729116
2026-03-02	4913937	0	4782035	4618297	0
2026-03-09	0	0	0	0	4192512
2026-03-16	0	0	8254008	13822188	0
2026-03-23	0	0	9572346	4618297	4331804
2026-03-30	56926452	0	0	4127004	0
2026-04-13	0	486781340	917112	0	0
