region	bytes_sent
US/California	9968368341722
AWS/us-east-1	6609775151790
US/Indiana	4149540367687
NL/North Holland	3686840353466
AWS/us-east-2	1270508986483
CN/Shanghai	735658548257
VPN	602022174284
HK/Hong Kong	159664314242
DK/Capital Region	115826143702
CA/British Columbia	80570145065
SE/Stockholm	23224980361
US/Washington	15630407728
GitHub	12966673674
US/Michigan	10298869793
US/Georgia	4077679641
GCP/us-central1	2069729346
CA/Quebec	1719272911
PT/Lisbon	1358724097
US/Virginia	768065567
AWS/ap-southeast-1	616739514
US/New York	608851454
HU/Budapest	182044718
GB/England	123288543
RU/Moscow	53986645
IT/Apulia	45255404
US/Vermont	33811989
US/Maryland	15531460
US/Rhode Island	10556349
US/Pennsylvania	7037566
