region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/CA	3123141417	406	406	0
AWS/ap-southeast-1	715652403	272	272	0
PAK/PB	1041047029	135	135	0
CHN	2977401541	615	360	62
DEU/BW	1041047029	135	135	0
CAN/QC	5268076847	678	678	0
USA	1208357784	251	195	17
AWS/us-east-1	1817245060	494	351	68
FRA/IDF	1041047029	135	135	0
HKG	2094671594	271	271	0
VPN	6061649365	1043	1015	25
USA/IN	1055737927	207	207	0
USA/FL	18853954	3	3	0
CHN/SH	878477901	134	134	0
USA/MA	1593060134	181	3	178
ISR/TA	1041046699	134	134	0
CHE/VD	24762374	2	2	0
CAN/AB	1041046699	134	134	0
AWS/us-east-2	155760564	25	25	0
GCP/us-west1	10207047	1	1	0
USA/NH	3050650	20	20	0
DEU/NW	4456	6	6	0
USA/WA	4179163	3	3	0
USA/VA	35242586	11	11	0
ITA/25	23266643	4	4	0
VNM/HN	2439	1	1	0
CAN/ON	660	2	2	0
USA/IL	1650	5	5	0
IND/HR	330	1	1	0
CHE/SO	330	1	1	0
USA/NY	38568134	6	6	0
VEN/I	330	1	1	0
POL/02	4290	13	13	0
GitHub	4290	13	11	2
THA	660	2	2	0
DEU/NI	124803317	20	20	0
URY/MO	15335493	1	1	0
SGP	18003916	4	4	0
USA/MI	192	1	1	0
USA/KS	268	1	1	0
BRA/RJ	268	1	1	0
USA/NJ	4176458	1	1	0
PRT/11	4176458	1	1	0
USA/SC	63677962	7	7	0
GBR/ENG	4176458	1	1	0
USA/TX	4176458	1	1	0
TUR/34	8374489	1	0	1
BRA/GO	14786706	1	1	0
CAN/NB	16693128	2	2	0
VNM/56	800	1	1	0
