week_start	Miscellaneous
2023-05-08	1650
2024-08-26	330
2025-02-24	1685737275
2025-03-03	2439
2025-03-10	72030878
2025-03-17	4176458
2025-04-07	1149014179
2025-04-14	4176458
2025-04-21	4456
2025-04-28	2105360041
2025-05-05	1041047359
2025-05-12	2099835936
2025-05-19	990
2025-06-16	9420614
2025-06-23	1041047029
2025-06-30	4176458
2025-07-21	39765091
2025-07-28	433156938
2025-08-04	285683389
2025-08-11	177280541
2025-08-18	45296767
2025-08-25	142784258
2025-09-01	135232034
2025-09-08	207673136
2025-10-06	192
2025-10-20	15972544
2025-11-24	660
2025-12-08	20899313
2025-12-15	3384555222
2025-12-22	75627703
2025-12-29	67309972
2026-01-05	131512006
2026-01-12	1005172963
2026-01-19	1294506657
2026-01-26	398396359
2026-02-02	220073650
2026-02-09	1041046699
2026-02-23	15019287
2026-03-09	124803317
2026-03-16	467943964
2026-03-30	2415630695
2026-04-06	1071129699
2026-04-13	1250165723
2026-04-20	549889914
2026-05-04	140138810
2026-05-11	2167125280
2026-05-18	423787369
2026-05-25	1043841584
2026-06-01	541662944
2026-06-08	1329315009
2026-06-15	1089416609
2026-06-22	100873628
2026-06-29	1197805600
2026-07-06	107172375
2026-07-13	27570776
2026-07-20	310292
2026-07-27	79535426
