date	bytes_sent	number_of_requests	number_of_downloads
2025-01-03	10631548786	1360	<50
2025-01-30	534415902	500	100
2025-02-14	58810033	<50	<50
2025-02-15	59420553	<50	<50
2025-02-19	912532658	2580	120
2025-02-20	488747711	1480	60
2025-03-18	58810033	<50	<50
2025-07-26	235530070	<50	<50
2025-07-27	58105186	<50	<50
2025-07-28	1154621354	<50	<50
2025-07-29	469077054	<50	<50
2025-07-30	943435341	<50	<50
2025-07-31	411579740	<50	<50
2025-08-01	349801401	<50	<50
2025-08-02	469847594	<50	<50
2025-08-03	475723269	<50	<50
2025-08-04	349673861	<50	<50
2025-08-05	435916789	<50	<50
2025-08-06	412006995	<50	<50
2025-08-07	413775655	<50	<50
2025-08-08	293070716	<50	<50
2025-08-09	178117939	<50	<50
2025-08-10	231528079	<50	<50
2025-08-11	176366103	<50	<50
2025-08-12	239485219	80	<50
2025-08-13	291058224	<50	<50
2025-08-14	350307378	<50	<50
2025-08-15	529847935	<50	<50
2025-08-16	295316526	<50	<50
2025-08-17	115110983	<50	<50
2025-08-18	352835505	<50	<50
2025-08-19	174954026	<50	<50
2025-08-21	117014818	<50	<50
2025-08-22	118948772	<50	<50
2025-08-24	237149643	<50	<50
2025-08-26	59594064	<50	<50
2025-08-27	295072488	<50	<50
2025-08-28	233227127	<50	<50
2025-08-29	173766217	<50	<50
2025-08-30	172650747	<50	<50
2025-08-31	290958309	<50	<50
2025-09-01	410120575	<50	<50
2025-09-02	177425231	<50	<50
2025-09-03	234927039	<50	<50
2025-09-04	117012222	<50	<50
2025-09-05	117533033	<50	<50
2025-09-06	116994882	<50	<50
2025-09-07	230948050	<50	<50
2025-09-08	59009911	<50	<50
2025-09-09	354137824	<50	<50
2025-09-10	526568847	<50	<50
2025-09-11	297643819	<50	<50
2025-09-12	235975388	<50	<50
2025-09-13	414452053	<50	<50
2025-10-08	15460800	<50	<50
2025-12-13	118605844	<50	<50
2025-12-14	58432588	<50	<50
2025-12-15	58491638	<50	<50
2025-12-16	1257491158	200	180
2025-12-17	119008604	<50	<50
2025-12-18	10747927784	200	180
2025-12-19	1342603849	200	180
2025-12-20	117447741	<50	<50
2025-12-21	118492137	<50	<50
2025-12-22	117196046	<50	<50
2025-12-24	237255808	<50	<50
2025-12-25	58261193	<50	<50
2025-12-26	233787811	<50	<50
2025-12-28	292998455	60	<50
2025-12-29	116599878	<50	<50
2025-12-30	233323168	<50	<50
2025-12-31	116833051	<50	<50
2026-01-01	58071928	<50	<50
2026-01-02	119177295	<50	<50
2026-01-03	235915983	<50	<50
2026-01-04	176673922	<50	<50
2026-01-05	117130264	<50	<50
2026-01-06	59867305	<50	<50
2026-01-07	57686007	<50	<50
2026-01-08	233459584	<50	<50
2026-01-09	175572250	<50	<50
2026-01-10	59032547	<50	<50
2026-01-11	117249084	<50	<50
2026-01-16	1757447787	60	<50
2026-01-17	5654536893	200	<50
2026-01-18	3858770025	140	<50
2026-01-19	1370173532	<50	<50
2026-01-22	118090016	<50	<50
2026-01-23	594992786	120	<50
2026-01-24	409219442	80	<50
2026-01-26	234176262	<50	<50
2026-01-27	470186773	100	<50
2026-01-28	704671866	140	<50
2026-01-29	940702046	200	<50
2026-01-30	579640787	120	<50
2026-01-31	765645114	160	<50
2026-02-01	583318623	120	<50
2026-02-02	295907212	60	<50
2026-02-03	297374975	60	<50
2026-02-04	351659022	80	<50
2026-02-05	586650218	120	<50
2026-02-20	167210920	60	<50
2026-02-24	131702404	<50	<50
2026-02-25	145317191	100	<50
2026-02-26	66627908	80	<50
2026-02-27	68630570	80	<50
2026-02-28	58312075	60	<50
2026-03-01	80989494	80	<50
2026-03-02	68653566	80	<50
2026-03-03	63897830	80	<50
2026-03-04	54006223	60	<50
2026-03-05	61822822	60	<50
2026-03-06	38277584	<50	<50
2026-03-07	103030121	100	<50
2026-03-08	66174916	80	<50
2026-03-09	48696953	60	<50
2026-03-10	36631817	<50	<50
2026-03-13	59350204	<50	<50
2026-03-19	1275890748	140	140
2026-03-21	9105612	<50	<50
2026-03-25	50441160	<50	<50
2026-03-26	424710650	<50	<50
2026-03-27	548452161	<50	<50
2026-03-28	583534193	<50	<50
2026-03-29	345175364	<50	<50
2026-03-30	816710678	<50	<50
2026-03-31	1417095135	<50	<50
2026-04-01	1004356502	<50	<50
2026-04-02	830873746	<50	<50
2026-04-03	929201050	<50	<50
2026-04-04	3254252166	60	60
2026-04-05	2005099788	<50	<50
2026-04-06	1083776516	<50	<50
2026-04-07	752588573	<50	<50
2026-04-08	443016631	<50	<50
2026-04-09	255181435	<50	<50
2026-04-10	176202499	<50	<50
2026-04-11	837556675	<50	<50
2026-04-12	853219644	<50	<50
2026-04-13	674657352	<50	<50
2026-04-14	531806881	<50	<50
2026-04-15	1175422588	<50	<50
2026-04-16	1131153020	<50	<50
2026-04-17	994301987	<50	<50
2026-04-18	197964018	<50	<50
2026-04-19	236574584	<50	<50
