date	bytes_sent	number_of_requests	number_of_downloads
2021-04-22	34992112149	4220	60
2021-04-23	34992112149	60	60
2021-05-01	168	<50	<50
2021-05-04	168	<50	<50
2021-05-06	43370669	<50	<50
2021-05-07	10454333388	<50	<50
2021-05-10	10417842788	<50	<50
2021-05-11	566156011	<50	<50
2021-05-19	6707384148	<50	<50
2021-06-09	1180	<50	<50
2021-06-15	1132	<50	<50
2021-07-02	45956601	<50	<50
2021-07-09	39751	<50	<50
2021-07-13	1523	<50	<50
2021-07-14	293667194	80	<50
2021-07-15	19338769317	2300	<50
2021-08-03	35285779972	140	140
2021-08-20	1132	<50	<50
2021-09-06	8393242	<50	<50
2021-09-20	1237579584	<50	<50
2021-09-30	2825	<50	<50
2021-10-04	2825	<50	<50
2021-10-05	637581067905	76240	220
2021-10-08	89	<50	<50
2021-10-14	1817	<50	<50
2021-10-25	564102104	<50	<50
2021-10-29	17905589	<50	<50
2021-10-30	524	<50	<50
2021-11-01	10296742120	<50	<50
2021-11-02	2636084152	<50	<50
2021-11-08	2617670491	<50	<50
2021-11-12	60	<50	<50
2021-11-15	986902823	120	<50
2021-11-17	1132	<50	<50
2021-11-18	6586186	<50	<50
2021-11-21	2578039323	<50	<50
2021-11-26	6626104	<50	<50
2021-12-03	3918	<50	<50
2021-12-09	1036	<50	<50
2021-12-14	220647240	<50	<50
2021-12-21	78	<50	<50
2022-01-03	986902655	<50	<50
2022-01-16	35637468	<50	<50
2022-01-21	6202	<50	<50
2022-01-23	276824308	<50	<50
2022-01-27	6202	<50	<50
2022-01-28	3377	<50	<50
2022-02-01	568115350	<50	<50
2022-02-06	244	<50	<50
2022-02-08	244	<50	<50
2022-02-09	615548265	<50	<50
2022-02-17	4330606973	<50	<50
2022-03-01	2627589593	<50	<50
2022-03-02	3572	<50	<50
2022-03-10	36423720729	4400	<50
2022-03-14	4509	<50	<50
2022-03-15	6352443	<50	<50
2022-03-22	1463922506982	177100	1800
2022-03-23	137781212355	16800	260
2022-03-24	1238	<50	<50
2022-03-29	1463869501987	190340	380
2022-03-30	270051575103	32460	<50
2022-03-31	164009711458	19600	<50
2022-04-12	4921429638	<50	<50
2022-04-14	499830185	<50	<50
2022-04-20	5252091989	<50	<50
2022-04-21	8884552155	<50	<50
2022-04-22	11980454287	<50	<50
2022-05-08	3621	<50	<50
2022-05-09	46777654	<50	<50
2022-05-11	10883696	<50	<50
2022-05-12	624986732	120	120
2022-05-13	4092	<50	<50
2022-05-19	6202	<50	<50
2022-05-24	66927736	<50	<50
2022-05-25	13139189	<50	<50
2022-05-26	306260358833	37420	580
2022-05-27	26943942	<50	<50
2022-05-28	2013493331516	244780	3020
2022-05-31	6380	<50	<50
2022-06-01	557785246	60	<50
2022-06-03	1261365	1020	1020
2022-06-06	1513192502	180	<50
2022-06-10	581221064	100	100
2022-06-14	517	<50	<50
2022-06-17	424586017	<50	<50
2022-06-18	9128563900	<50	<50
2022-06-20	6153684173	<50	<50
2022-06-27	297359350018	36780	1000
2022-06-28	36363208703	4440	<50
2022-06-29	101047450300	12300	160
2022-06-30	566801593	<50	<50
2022-07-01	542263	<50	<50
2022-07-04	21156097211	<50	<50
2022-07-08	2478	<50	<50
2022-07-11	44397829746	<50	<50
2022-07-12	1417365749063	74280	1880
2022-07-13	2787811224421	135320	7980
2022-07-14	2940932269814	142740	8360
2022-07-15	695071546534	33780	1980
2022-07-19	2592141204	<50	<50
2022-07-21	148718	<50	<50
2022-07-23	3372132101	160	<50
2022-07-26	6546972796	360	<50
2022-07-27	3273486398	180	<50
2022-07-31	219692111079	26620	260
2022-08-01	513559773533	61680	620
2022-08-02	467274352428	56620	540
2022-08-03	450501896413	54600	540
2022-08-04	16382364848	1000	<50
2022-08-05	13265921310	840	<50
2022-08-07	121799978158	1760	340
2022-08-08	972937615825	3060	2780
2022-08-09	982397465464	3140	2920
2022-08-10	804896854009	2540	2320
2022-08-11	827697527316	2580	2400
2022-08-12	907651839987	2800	2600
2022-08-13	622861987867	1980	1800
2022-08-23	201101854333	1160	1160
2022-08-24	561685936213	9660	2480
2022-08-25	1378036584968	3900	3900
2022-08-26	1524934737669	4440	4440
2022-08-27	1542510208325	4600	4600
2022-08-28	1570385778519	4560	4560
2022-08-29	991482785405	2940	2940
2022-08-30	144683454417	480	480
2022-08-31	923033203093	2480	2480
2022-09-01	54836906821	140	140
2022-09-05	13379067711	<50	<50
2022-09-16	158445728919	18940	<50
2022-09-22	2639582502	<50	<50
2022-09-29	1974219452504	237600	<50
2022-09-30	618492493279	80480	6440
2022-10-06	5266535226	<50	<50
2022-10-13	307229839	<50	<50
2022-10-14	244	<50	<50
