week_start	Microscopy	Miscellaneous
2021-04-19	69979979160	4245138
2021-04-26	0	168
2021-05-03	10497700661	3564
2021-05-10	10983996347	2452
2021-05-17	6707384148	0
2021-06-07	0	1180
2021-06-14	0	1132
2021-06-28	45956601	0
2021-07-05	0	39751
2021-07-12	19632434437	3597
2021-08-02	35283654700	2125272
2021-08-16	0	1132
2021-09-06	8390432	2810
2021-09-20	1237577383	2201
2021-09-27	0	2825
2021-10-04	636999815502	581255317
2021-10-11	0	1817
2021-10-25	582001152	7065
2021-11-01	12932818410	7862
2021-11-08	2617670491	60
2021-11-15	3564941978	6587486
2021-11-22	0	6626104
2021-11-29	0	3918
2021-12-06	0	1036
2021-12-13	220647240	0
2021-12-20	0	78
2022-01-03	986902655	0
2022-01-10	35637468	0
2022-01-17	276824064	6446
2022-01-24	0	9579
2022-01-31	568112558	3036
2022-02-07	615544965	3544
2022-02-14	4330600724	6249
2022-02-28	2627589331	3834
2022-03-07	36423708283	12446
2022-03-14	0	6356952
2022-03-21	1601701012554	2708021
2022-03-28	1897930369997	418551
2022-04-11	5421259823	0
2022-04-18	26104192117	12906314
2022-05-02	0	3621
2022-05-09	82787683	599864491
2022-05-16	0	6202
2022-05-23	2319856233323	4467893
2022-05-30	557785246	1267745
2022-06-06	1513192502	581221064
2022-06-13	9553149917	517
2022-06-20	6153684173	0
2022-06-27	435331165280	6187597
2022-07-04	21156095578	4111
2022-07-11	7884321109951	1257509627
2022-07-18	5958811750	5610273
2022-07-25	229490448289	22121984
2022-08-01	1582543182176	241104514
2022-08-08	5117515848980	927441488
2022-08-22	6777577752729	1077347298
2022-08-29	2113809522523	226827213
2022-09-05	13379064244	3467
2022-09-12	158445715349	13570
2022-09-19	2639582502	0
2022-09-26	2592703442679	8503104
2022-10-03	5266535226	0
2022-10-10	307229839	244
2022-10-17	307229839	0
2022-10-24	9201668206	3848
2022-10-31	599511470	657
2022-11-07	73070701421	13645
2022-11-14	10995444418	0
2022-11-21	140045324416	378542
2022-11-28	616890626	0
2022-12-19	210402662	5301
2023-01-02	0	6754
2023-01-09	13161006632	732
2023-01-23	6335209951	0
2023-02-13	265996525245	6050637
2023-02-20	270223045293	18520583
2023-03-13	0	6754
2023-03-20	210013386	0
2023-03-27	218531543034	21627
2023-04-03	276328011	36696110
2023-04-10	1279956529334	119427905
2023-04-17	4316550959	72914
2023-04-24	932687607	0
2023-05-01	64728156454	3853
2023-05-08	528116853818	24024821
2023-05-15	367028259472	6352800
2023-05-22	370088269094	6352443
2023-05-29	61505721900	0
2023-06-12	57546250	3377
2023-06-19	83375412	6596587
2023-06-26	129631988	22440
2023-07-03	16290442713	865687
2023-07-10	4561801788	773292
2023-07-17	2904058645	2385
2023-07-24	10618240	13704
2023-07-31	2668239044	0
2023-08-07	4994128758	3603
2023-08-14	21239604525	350458
2023-08-21	4267977775	1924
2023-09-04	1379816922	3374
2023-09-11	207309319653	7915854
2023-09-18	13123306637	6906
2023-09-25	136969334638	20148
2023-10-02	10123102421	21511
2023-10-09	940438332	5298
2023-10-16	355640046797	18551481
2023-10-23	449086631070	89183200
2023-10-30	617088534371	76474170
2023-11-06	142595541895	33615718
2023-11-13	22209873467	5511509
2023-11-20	59228119930	170418
2023-11-27	207061550	8252
2023-12-04	231691295709	1161687100
2023-12-11	33745675265	75642
2023-12-18	1787717909	6811
2023-12-25	53346596	0
2024-01-01	14277223501	214650
2024-01-08	8090236399	5161
2024-01-15	2091238365	280858
2024-01-22	147797173601	32606
2024-01-29	17402516785	30816
2024-02-05	5692467961224	587823824
2024-02-12	841377553162	583186263
2024-02-19	1229582112034	585148988
2024-02-26	880183374371	81816
2024-03-04	618058703440	782
2024-03-11	111265132564	23465
2024-03-18	34830493347	358025
2024-03-25	245093482008	6381430
2024-04-01	46152945353	590289439
2024-04-08	35146978558	11615087
2024-04-15	53196586052	3713370
2024-04-22	37783863995	42402
2024-04-29	70530044424	21662
2024-05-06	363616957090	615228891
2024-05-13	55980696848	10419
2024-05-20	96510463001	16617
2024-05-27	54358995178	12255843
2024-06-03	60362972851	77478331
2024-06-10	77087078002	6411906
2024-06-17	70320110019	370143
2024-06-24	220750123190	57789
2024-07-01	113591839918	5515602
2024-07-08	375648635542	36813638
2024-07-15	131835387249	77442
2024-07-22	283223519159	608068573
2024-07-29	216378815226	29512
2024-08-05	316441061902	8868443
2024-08-12	414134871578	12385669
2024-08-19	300035684206	376817104
2024-08-26	13212098178977	378399872
2024-09-02	4069976359690	298879401
2024-09-09	27884908151544	290151944
2024-09-16	4413438116299	49869493
2024-09-23	471390352460	45183224
2024-09-30	84342034347	30266158
2024-10-07	100173105694	5410151
2024-10-14	717451963896	1173533466
2024-10-21	1015325057428	11206450
2024-10-28	695242085589	612734959
2024-11-04	969420706590	530237156
2024-11-11	782983213073	33038939
2024-11-18	1533198705998	2940275092
2024-11-25	76667849736	51212930
2024-12-02	2189374149909	188545279
2024-12-09	858738828685	867466491
2024-12-16	8839926797623	667678
2024-12-23	65619467974	3527
2024-12-30	335761180790	14401
2025-01-06	8262633100	5900
2025-01-13	23400388539	7782
2025-01-20	1768898317	21281
2025-01-27	321478708291	11351
2025-02-03	93938762032	141034
2025-02-10	3289034946638	1743957911
2025-02-17	1983015203611	5558672
2025-02-24	31414525064	14922
2025-03-03	2507877624788	22145781
2025-03-10	16430702703205	19711037
2025-03-17	858471970966	17581574
2025-03-24	25943112868	6587426
2025-03-31	142520938302	5539603
2025-04-07	153855515958	24853
2025-04-14	177568124748	1134008
2025-04-21	707102056	39487
2025-04-28	14370579077	1108679
2025-05-05	148901969	2825
