week_start	Neurophysiology	Video
2025-04-07	0	873294534
2025-04-14	107558953032	1796080286
2025-04-21	33896940	5416232210
2025-04-28	15412603808	883984420
2025-05-05	671977080	0
2025-06-02	53901656	0
2025-06-16	61380996	890255724
2025-07-07	7081758083	0
2025-07-14	15473919296	1729819020
2025-07-28	15412603808	0
2025-08-04	15412603808	864909510
2025-09-01	0	864909510
2025-12-01	3525984	0
2025-12-15	15431627856	882465654
2025-12-22	15412603808	0
2025-12-29	4317031732	0
2026-01-05	0	50527412
2026-01-12	11919706820	0
2026-01-19	0	864909510
2026-01-26	223990416	864909510
2026-02-16	22344852	31865842
2026-02-23	5579768	0
2026-03-02	199725728	2162688
2026-03-09	0	20220641
2026-03-16	15429242840	892358531
2026-03-23	4637828	0
2026-03-30	0	51096240
2026-04-06	80293652	0
2026-04-20	13494648	0
2026-04-27	21437676	930282906
2026-05-11	23938568	0
2026-05-18	25964352	0
2026-05-25	21465824	0
2026-06-01	42962376	0
2026-06-08	18018728	0
2026-06-15	11683608	0
2026-06-22	19479060	0
2026-06-29	49632780	3280588
2026-07-06	1759704274	0
2026-07-13	13803040	0
2026-07-20	11552592	0
2026-07-27	1444488	0
2026-08-03	6169340	0
